model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
reliability_gt,heterophily,3,0.8722222447395325,0.8396825194358826,0.03021537130663437,4.013457775115967
reliability_gt,heterophily,4,0.8222222328186035,0.7809523940086365,0.003786755494772403,2.639338493347168
mlp,homophily,0,0.6277777552604675,0.6634920835494995,nan,0.11394953727722168
mlp,homophily,1,0.6499999761581421,0.6714285612106323,nan,0.09563231468200684
mlp,homophily,2,0.7388888597488403,0.6380952596664429,nan,0.09106826782226562
mlp,homophily,3,0.7222222089767456,0.6650793552398682,nan,0.10099411010742188
mlp,homophily,4,0.6499999761581421,0.5952380895614624,nan,0.12663888931274414
gcn,homophily,0,1.0,0.9984126687049866,nan,0.4280431270599365
gcn,homophily,1,0.9944444298744202,0.9984126687049866,nan,0.5919153690338135
gcn,homophily,2,0.9944444298744202,0.9968253970146179,nan,0.5305764675140381
gcn,homophily,3,1.0,0.9968253970146179,nan,0.4027373790740967
gcn,homophily,4,1.0,0.9920634627342224,nan,0.4203164577484131
linear_gt,homophily,0,0.9555555582046509,0.9396825432777405,nan,5.50374698638916
linear_gt,homophily,1,0.9333333373069763,0.9428571462631226,nan,2.3871688842773438
linear_gt,homophily,2,0.9444444179534912,0.9285714030265808,nan,2.0272371768951416
linear_gt,homophily,3,0.9611111283302307,0.9111111164093018,nan,2.778472900390625
linear_gt,homophily,4,0.894444465637207,0.8666666746139526,nan,2.7169463634490967
qk_gt,homophily,0,0.9333333373069763,0.920634925365448,nan,3.495239019393921
qk_gt,homophily,1,0.9111111164093018,0.9539682269096375,nan,3.128671646118164
qk_gt,homophily,2,0.9444444179534912,0.9301587343215942,nan,4.6876842975616455
qk_gt,homophily,3,0.9666666388511658,0.9253968000411987,nan,4.509374380111694
qk_gt,homophily,4,0.9222221970558167,0.8777777552604675,nan,2.606991767883301
gate_gt,homophily,0,0.9833333492279053,0.958730161190033,-0.046468589908599416,2.1474201679229736
gate_gt,homophily,1,0.9666666388511658,0.9730158448219299,-0.10284392590032347,2.3219361305236816
gate_gt,homophily,2,0.9722222089767456,0.9555555582046509,-0.11851125925525019,2.4960362911224365
gate_gt,homophily,3,0.9944444298744202,0.9555555582046509,0.016132727195472055,3.2041547298431396
gate_gt,homophily,4,0.949999988079071,0.9412698149681091,-0.009608044599724046,2.093484401702881
reliability_gt,homophily,0,0.9833333492279053,0.9539682269096375,0.07051084159190306,2.518874406814575
reliability_gt,homophily,1,0.9666666388511658,0.9809523820877075,-0.1606928952051926,2.5008089542388916
reliability_gt,homophily,2,0.9666666388511658,0.961904764175415,0.4735769120137357,6.050403833389282
reliability_gt,homophily,3,0.9833333492279053,0.958730161190033,-0.06892816384847648,6.086328983306885
reliability_gt,homophily,4,0.9777777791023254,0.958730161190033,-0.1393807252418268,7.52579402923584
mlp,noisy,0,0.5444444417953491,0.5746031999588013,nan,0.18009257316589355
mlp,noisy,1,0.550000011920929,0.5809524059295654,nan,0.1437535285949707
mlp,noisy,2,0.6666666865348816,0.5539682507514954,nan,0.09748172760009766
mlp,noisy,3,0.6333333253860474,0.5603174567222595,nan,0.11909914016723633
mlp,noisy,4,0.5611110925674438,0.5158730149269104,nan,0.10674047470092773
gcn,noisy,0,0.8166666626930237,0.779365062713623,nan,1.329197645187378
gcn,noisy,1,0.7666666507720947,0.8206349015235901,nan,1.0927751064300537
gcn,noisy,2,0.8111110925674438,0.761904776096344,nan,1.3774940967559814
gcn,noisy,3,0.8055555820465088,0.8095238208770752,nan,1.3919517993927002
gcn,noisy,4,0.7722222208976746,0.776190459728241,nan,2.2298171520233154
linear_gt,noisy,0,0.6000000238418579,0.5714285969734192,nan,3.607661485671997
linear_gt,noisy,1,0.6777777671813965,0.6650793552398682,nan,3.8181984424591064
linear_gt,noisy,2,0.6666666865348816,0.6158730387687683,nan,2.702366352081299
linear_gt,noisy,3,0.6722221970558167,0.6063492298126221,nan,4.607781648635864
linear_gt,noisy,4,0.550000011920929,0.49365079402923584,nan,2.2382700443267822
qk_gt,noisy,0,0.5555555820465088,0.5603174567222595,nan,3.2431063652038574
qk_gt,noisy,1,0.6388888955116272,0.6539682745933533,nan,3.3309073448181152
qk_gt,noisy,2,0.6666666865348816,0.6142857074737549,nan,5.840082883834839
qk_gt,noisy,3,0.6555555462837219,0.6000000238418579,nan,3.1860299110412598
qk_gt,noisy,4,0.5444444417953491,0.5126984119415283,nan,2.136164903640747
gate_gt,noisy,0,0.605555534362793,0.5666666626930237,-0.195591528339125,3.185637950897217
gate_gt,noisy,1,0.644444465637207,0.6269841194152832,0.5101872667615728,2.3090875148773193
gate_gt,noisy,2,0.6611111164093018,0.6365079283714294,-0.10022649620452731,2.8914363384246826
gate_gt,noisy,3,0.6777777671813965,0.6460317373275757,-0.0024243654710483136,3.750842332839966
gate_gt,noisy,4,0.5611110925674438,0.5476190447807312,-0.12397093641530113,3.908529281616211
reliability_gt,noisy,0,0.605555534362793,0.5523809790611267,-0.16246034714818441,3.82558536529541
reliability_gt,noisy,1,0.6611111164093018,0.6920635104179382,-0.10135103833078639,4.0599236488342285
reliability_gt,noisy,2,0.6666666865348816,0.6158730387687683,0.21043541011710235,2.622314691543579
reliability_gt,noisy,3,0.7111111283302307,0.6571428775787354,0.07291471205951008,3.274815797805786
reliability_gt,noisy,4,0.5611110925674438,0.5285714268684387,-0.07611538703871339,2.3140459060668945
