model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
qk_gt,homophily,4,0.9333333373069763,0.9174603223800659,nan,5.284575939178467
gate_gt,homophily,0,0.9833333492279053,0.958730161190033,-0.046471729507713486,2.0804848670959473
gate_gt,homophily,1,0.9666666388511658,0.9730158448219299,-0.10284644427415099,2.097022533416748
gate_gt,homophily,2,0.9722222089767456,0.9555555582046509,-0.11851131482232434,2.130621910095215
gate_gt,homophily,3,0.9944444298744202,0.9555555582046509,0.016130977121026627,2.8425514698028564
gate_gt,homophily,4,0.9555555582046509,0.9507936239242554,0.03932609213829918,3.1328377723693848
reliability_gt,homophily,0,0.9888888597488403,0.9650793671607971,-0.05102623263587189,2.698366403579712
reliability_gt,homophily,1,0.9611111283302307,0.9825396537780762,-0.10649618162211366,3.7875802516937256
reliability_gt,homophily,2,0.9777777791023254,0.9730158448219299,0.005169573440537049,3.065248727798462
reliability_gt,homophily,3,0.9944444298744202,0.9746031761169434,0.026223622046921895,2.928973436355591
reliability_gt,homophily,4,0.9722222089767456,0.9476190209388733,-0.11225628923787787,2.631955146789551
mlp,noisy,0,0.5444444417953491,0.5746031999588013,nan,0.10585880279541016
mlp,noisy,1,0.550000011920929,0.5809524059295654,nan,0.09253430366516113
mlp,noisy,2,0.6666666865348816,0.5539682507514954,nan,0.09888982772827148
mlp,noisy,3,0.6333333253860474,0.5603174567222595,nan,0.1181802749633789
mlp,noisy,4,0.5611110925674438,0.5158730149269104,nan,0.1078345775604248
gcn,noisy,0,0.8222222328186035,0.8047618865966797,nan,1.7894518375396729
gcn,noisy,1,0.7444444298744202,0.8222222328186035,nan,0.9752132892608643
gcn,noisy,2,0.8166666626930237,0.7857142686843872,nan,1.5123281478881836
gcn,noisy,3,0.8111110925674438,0.7809523940086365,nan,1.2901477813720703
gcn,noisy,4,0.7611111402511597,0.7777777910232544,nan,1.209439992904663
linear_gt,noisy,0,0.6166666746139526,0.5666666626930237,nan,3.4691264629364014
linear_gt,noisy,1,0.6555555462837219,0.644444465637207,nan,2.995248317718506
linear_gt,noisy,2,0.6777777671813965,0.6111111044883728,nan,2.495887279510498
linear_gt,noisy,3,0.6666666865348816,0.6095238327980042,nan,3.6987125873565674
linear_gt,noisy,4,0.5444444417953491,0.4920634925365448,nan,1.8735382556915283
qk_gt,noisy,0,0.5888888835906982,0.5349206328392029,nan,4.82685923576355
qk_gt,noisy,1,0.6611111164093018,0.6492063403129578,nan,3.157771587371826
qk_gt,noisy,2,0.6499999761581421,0.6095238327980042,nan,2.182901620864868
qk_gt,noisy,3,0.6944444179534912,0.620634913444519,nan,3.858828067779541
qk_gt,noisy,4,0.5277777910232544,0.5285714268684387,nan,2.275416135787964
gate_gt,noisy,0,0.5777778029441833,0.5539682507514954,-0.1542133780201787,3.2294628620147705
gate_gt,noisy,1,0.6388888955116272,0.6333333253860474,0.5244863731440675,2.4169492721557617
gate_gt,noisy,2,0.6611111164093018,0.6222222447395325,-0.024364565275330364,2.7743260860443115
gate_gt,noisy,3,0.6833333373069763,0.6523809432983398,0.12205265225893487,4.31864595413208
gate_gt,noisy,4,0.5777778029441833,0.5269841551780701,-0.23069760262416839,3.560328722000122
reliability_gt,noisy,0,0.6166666746139526,0.5904762148857117,0.229067963920641,6.093112945556641
reliability_gt,noisy,1,0.6777777671813965,0.6777777671813965,0.10173978425733765,5.213809013366699
reliability_gt,noisy,2,0.6499999761581421,0.6380952596664429,0.09775099030596378,3.0621213912963867
reliability_gt,noisy,3,0.6833333373069763,0.6650793552398682,0.38942808577300686,3.578331708908081
reliability_gt,noisy,4,0.5833333134651184,0.5507936477661133,-0.09417667379777998,3.0278635025024414
