dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,hidden_mixing_frozen,feature_only,5,0.46696063280105593,0.0038860209270967436,0.3599435953227774,0.4671892821788788,-0.00022864937782287597,0.75,0.7469793319702148,0.002611048534163274,0.004657823336310684,0.01018622878473252,-0.23534731479653043,0.10548485625834635,nan,34948.0,25348.0,0.0
Amazon-ratings,hidden_mixing_frozen,fixed,5,0.4671892821788788,0.004019889232844064,0.35940899117515784,0.4671892821788788,0.0,0.75,0.75,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,hidden_mixing_frozen,reliability_only,5,0.46679731607437136,0.004534736348720287,0.359708551158759,0.4671892821788788,-0.0003919661045074463,0.75,0.746427857875824,0.0033260562369832767,0.005149079579859972,0.011861685547046363,0.03485521140847764,0.65885022264209,0.7240498040625237,34948.0,26372.0,0.0
Amazon-ratings,hidden_mixing_frozen,shuffled_reliability,5,0.46676465272903445,0.00398309706636448,0.36016385126072187,0.4671892821788788,-0.0004246294498443604,0.75,0.7466513276100158,0.0027954919321928175,0.005109522468410432,0.009875090513378381,-0.0012530151550387953,0.003867958692318448,-0.573240274470256,34948.0,26372.0,0.0
Amazon-ratings,hidden_mixing_frozen,zero_reliability,5,0.4670912861824036,0.0038606797056874834,0.3602056764452707,0.4671892821788788,-9.799599647521972e-05,0.75,0.7452515840530396,0.004304946179036051,0.006885992037132383,0.0126541196834296,nan,nan,nan,34948.0,26372.0,0.0
Chameleon,hidden_mixing_finetune,combined,5,0.5429824471473694,0.029669362121283977,0.5382785819339172,0.5434210538864136,-0.0004386067390441895,0.8,0.7997949242591857,7.124254043446853e-05,0.0008245448349043727,0.0011860039317980408,-0.29200073727473486,-0.4030720858207034,-0.38855743340486915,259401.0,34948.0,224453.0
Chameleon,hidden_mixing_finetune,combined_constant,5,0.5425438523292542,0.029636925846404424,0.5378528592576737,0.5434210538864136,-0.0008772015571594238,0.8,0.7997925043106079,5.957276007393375e-05,0.000830309500452131,0.0010369526920840145,-0.1700439504856014,-0.08420560619950004,nan,259401.0,34948.0,224453.0
Chameleon,hidden_mixing_finetune,combined_shuffled,5,0.5416666626930237,0.029747063858041958,0.53713181606512,0.5434210538864136,-0.0017543911933898925,0.8,0.7997846364974975,6.10099799814634e-05,0.0008458520518615842,0.001076437532901764,-0.12272642606421766,-0.055677300352241464,0.04267216669133155,259401.0,34948.0,224453.0
Chameleon,hidden_mixing_finetune,constant_reliability,5,0.5416666626930237,0.029747063858041958,0.5369563535870963,0.5434210538864136,-0.0017543911933898925,0.8,0.7997675895690918,3.371261482243426e-05,0.000881939334794879,0.0009564816835336387,nan,nan,nan,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_finetune,feature_only,5,0.5394736766815186,0.030132569795503397,0.5342866355702366,0.5434210538864136,-0.0039473772048950195,0.8,0.7997363567352295,3.436534607317299e-05,0.0009236847399733961,0.0010394470067694784,-0.17707126801099204,-0.097804359874685,nan,259401.0,25348.0,224453.0
Chameleon,hidden_mixing_finetune,fixed,5,0.5438596487045289,0.03141404478625333,0.5383174170876308,0.5434210538864136,0.00043859481811523435,0.8,0.8,0.0,0.0,0.0,nan,nan,nan,224453.0,0.0,224453.0
Chameleon,hidden_mixing_finetune,reliability_only,5,0.5416666746139527,0.029714710994055,0.536971185736074,0.5434210538864136,-0.0017543792724609374,0.8,0.7997711658477783,5.058600254415069e-05,0.0008744925959035754,0.0010824954137206078,-0.3645306689815581,-0.49780512976564556,-0.5170777323074551,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_finetune,shuffled_reliability,5,0.5394736766815186,0.030132569795503397,0.5342866355702366,0.5434210538864136,-0.0039473772048950195,0.8,0.7997291922569275,3.183462176821194e-05,0.0009407299454323948,0.0010327672585844993,0.025053160683798523,0.00683907917149506,0.06658097813575209,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_finetune,zero_reliability,5,0.5416666626930237,0.029747063858041958,0.5369563535870963,0.5434210538864136,-0.0017543911933898925,0.8,0.799767017364502,3.3668974720058034e-05,0.0008827588288113474,0.0009572298382408917,nan,nan,nan,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_frozen,combined,5,0.5438596487045289,0.031044456115807095,0.5383646682443546,0.5434210538864136,0.00043859481811523435,0.8,0.8002137064933776,0.0049138113670778695,0.015979887708090244,0.02060911839362234,-0.048884460543986576,-0.10660633460801966,-0.010189535760281462,34948.0,34948.0,0.0
Chameleon,hidden_mixing_frozen,combined_constant,5,0.5425438642501831,0.032008529434407185,0.5368591842390553,0.5434210538864136,-0.0008771896362304687,0.8,0.7972257256507873,0.0024802635511150584,0.005703153437934816,0.010521883377805352,-0.13884302241034938,-0.048680378324755746,nan,34948.0,34948.0,0.0
Chameleon,hidden_mixing_frozen,combined_shuffled,5,0.5399122834205627,0.03375768598779226,0.5343536099188849,0.5434210538864136,-0.00350877046585083,0.8,0.797392612695694,0.00642975633709284,0.01209609571378678,0.021001146151684226,-0.049162359428441216,-0.0332371981497228,0.24550578443766147,34948.0,34948.0,0.0
Chameleon,hidden_mixing_frozen,constant_reliability,5,0.5425438642501831,0.032008529434407185,0.5368591842390553,0.5434210538864136,-0.0008771896362304687,0.8,0.7972066640853882,0.002479070184926968,0.005771308345720172,0.01051486108917743,nan,nan,nan,34948.0,26372.0,0.0
Chameleon,hidden_mixing_frozen,feature_only,5,0.5425438642501831,0.032008529434407185,0.5367358015630372,0.5434210538864136,-0.0008771896362304687,0.8,0.7973020553588868,0.00424590491456911,0.010390332783572376,0.011197548476047814,-0.17666218570784398,-0.08002143962233647,nan,34948.0,25348.0,0.0
Chameleon,hidden_mixing_frozen,fixed,5,0.5434210538864136,0.031609391613679524,0.5377200300158593,0.5434210538864136,0.0,0.8,0.8,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Chameleon,hidden_mixing_frozen,reliability_only,5,0.5429824590682983,0.03146299470092667,0.5375158343482224,0.5434210538864136,-0.00043859481811523435,0.8,0.8001828908920288,0.006341029777468065,0.018158032977953553,0.020607486716471612,0.037449564509024126,-0.1264418107682171,-0.06511703145345997,34948.0,26372.0,0.0
Chameleon,hidden_mixing_frozen,shuffled_reliability,5,0.5421052694320678,0.03295024141524817,0.5363122343743595,0.5434210538864136,-0.0013157844543457032,0.8,0.798321270942688,0.004058660880400566,0.007901697210036219,0.012593003828078509,0.0156730244071185,-0.018246716182205715,0.33695499138585094,34948.0,26372.0,0.0
Chameleon,hidden_mixing_frozen,zero_reliability,5,0.5425438642501831,0.032008529434407185,0.5368591842390553,0.5434210538864136,-0.0008771896362304687,0.8,0.7972214818000793,0.0024634896552015563,0.005741726350970566,0.010454279999248684,nan,nan,nan,34948.0,26372.0,0.0
Citeseer,hidden_mixing_finetune,combined,5,0.613200044631958,0.022877060961827546,0.5697918132253517,0.614400041103363,-0.0011999964714050292,0.75,0.7497540473937988,7.69625257817097e-06,0.0010130909737199544,0.0010262463940307498,-0.1944296209914131,-0.48360017384234644,-0.6513216474499824,347658.0,34948.0,312710.0
Citeseer,hidden_mixing_finetune,combined_constant,5,0.613200044631958,0.022877060961827546,0.5697918132253517,0.614400041103363,-0.0011999964714050292,0.75,0.7497549772262573,9.124757343670354e-06,0.0010149969719350338,0.0010290446691215039,0.08027843060235305,0.131380916470932,nan,347658.0,34948.0,312710.0
Citeseer,hidden_mixing_finetune,combined_shuffled,5,0.613200044631958,0.022877060961827546,0.5697918132253517,0.614400041103363,-0.0011999964714050292,0.75,0.7497538805007935,8.303855429403484e-06,0.0010135341435670853,0.0010283440351486206,-0.01256648947904004,-0.0014204348672745516,-0.5633367276738207,347658.0,34948.0,312710.0
Citeseer,hidden_mixing_finetune,constant_reliability,5,0.6178000450134278,0.017127755511165,0.5715546241677022,0.614400041103363,0.003400003910064697,0.75,0.7497926354408264,7.912697255960666e-05,0.0010719319339841603,0.0010967699810862542,nan,nan,nan,347658.0,26372.0,312710.0
Citeseer,hidden_mixing_finetune,feature_only,5,0.6164000391960144,0.018586022229640474,0.5705337486570119,0.614400041103363,0.0019999980926513673,0.75,0.7497888803482056,5.4617433124803935e-05,0.0009943673270754517,0.0011030196212232113,0.012980729198312998,0.028943684700645227,nan,347658.0,25348.0,312710.0
Citeseer,hidden_mixing_finetune,fixed,5,0.616800045967102,0.02168316837642109,0.5787198786048303,0.614400041103363,0.0024000048637390138,0.75,0.75,0.0,0.0,0.0,nan,nan,nan,312710.0,0.0,312710.0
Citeseer,hidden_mixing_finetune,reliability_only,5,0.6172000408172608,0.017713275992036127,0.5710776478432369,0.614400041103363,0.002799999713897705,0.75,0.7497756719589234,7.174370184657164e-05,0.0010291659273207188,0.0011519783642143012,-0.35632079814493056,-0.2906856895685846,-0.2722851588345737,347658.0,26372.0,312710.0
