"strength","dataset","family","control","acc","gain","alpha","adjust"
"0.20","Actor","hidden_mixing_finetune","combined_shuffled","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.20","Actor","hidden_mixing_finetune","constant_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.20","Actor","hidden_mixing_finetune","fixed","0.364736866950989","0","0.849999940395355","0"
"0.20","Actor","hidden_mixing_finetune","reliability_only","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.20","Actor","hidden_mixing_finetune","shuffled_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.20","Actor","hidden_mixing_finetune","zero_reliability","0.364473700523376","-0.000263166427612305","0.849650049209595","0.00100000004749745"
"0.05","Actor","hidden_mixing_frozen","combined","0.363684231042862","-0.00105263590812683","0.844252073764801","0.00673411092720926"
"0.05","Actor","hidden_mixing_frozen","combined_constant","0.36486844420433","0.000131577253341675","0.846269726753235","0.0046131047885865"
"0.05","Actor","hidden_mixing_frozen","combined_shuffled","0.363289493322372","-0.00144737362861633","0.838776457309723","0.0124393548816442"
"0.05","Actor","hidden_mixing_frozen","constant_reliability","0.365000021457672","0.00026315450668335","0.843379938602448","0.00742395659908652"
"0.05","Actor","hidden_mixing_frozen","fixed","0.364736866950989","0","0.849999940395355","0"
"0.05","Actor","hidden_mixing_frozen","reliability_only","0.364736860990524","-5.96046447753906E-09","0.841856908798218","0.00943038766272366"
"0.05","Actor","hidden_mixing_frozen","shuffled_reliability","0.364210546016693","-0.000526320934295654","0.837325668334961","0.0142392139881849"
"0.05","Actor","hidden_mixing_frozen","zero_reliability","0.365000021457672","0.00026315450668335","0.843435966968536","0.00735067212954164"
"0.10","Actor","hidden_mixing_frozen","combined","0.363289493322372","-0.00144737362861633","0.830689883232117","0.0208375412737951"
"0.10","Actor","hidden_mixing_frozen","combined_constant","0.363684231042862","-0.00105263590812683","0.834023237228394","0.0307314480654895"
"0.10","Actor","hidden_mixing_frozen","combined_shuffled","0.363157916069031","-0.00157895088195801","0.829950869083405","0.0216485139681026"
"0.10","Actor","hidden_mixing_frozen","constant_reliability","0.364473706483841","-0.000263160467147827","0.833146297931671","0.0176461738999933"
"0.10","Actor","hidden_mixing_frozen","fixed","0.364736866950989","0","0.849999940395355","0"
"0.10","Actor","hidden_mixing_frozen","reliability_only","0.364868438243866","0.000131571292877197","0.835779404640198","0.0168147199554369"
"0.10","Actor","hidden_mixing_frozen","shuffled_reliability","0.363684231042862","-0.00105263590812683","0.827020609378815","0.0244336160598323"
"0.10","Actor","hidden_mixing_frozen","zero_reliability","0.364473706483841","-0.000263160467147827","0.833164012432098","0.0176028542686254"
"0.20","Actor","hidden_mixing_frozen","combined","0.364078968763351","-0.000657898187637329","0.815717577934265","0.0376276462338865"
"0.20","Actor","hidden_mixing_frozen","combined_constant","0.362763178348541","-0.00197368860244751","0.813289701938629","0.0599396605044603"
"0.20","Actor","hidden_mixing_frozen","combined_shuffled","0.3626316010952","-0.00210526585578918","0.812505722045898","0.0397689857287332"
"0.20","Actor","hidden_mixing_frozen","constant_reliability","0.363684231042862","-0.00105263590812683","0.813361179828644","0.0374369173776358"
"0.20","Actor","hidden_mixing_frozen","fixed","0.364736866950989","0","0.849999940395355","0"
"0.20","Actor","hidden_mixing_frozen","reliability_only","0.364210546016693","-0.000526320934295654","0.812738907337189","0.0400960564613342"
"0.20","Actor","hidden_mixing_frozen","shuffled_reliability","0.362500011920929","-0.00223685503005981","0.808360719680786","0.0667658817954361"
"0.20","Actor","hidden_mixing_frozen","zero_reliability","0.363684231042862","-0.00105263590812683","0.813407969474792","0.0373602350708097"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined","0.473558706045151","0.00636942386627197","0.748724257946014","0.0198282018303871"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined_constant","0.471664214134216","0.00447493195533752","0.75319858789444","0.016540689021349"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined_shuffled","0.47581250667572","0.00862322449684143","0.757084131240845","0.0347987148910761"
"0.05","Amazon-ratings","hidden_mixing_finetune","constant_reliability","0.476531106233597","0.00934182405471802","0.756075239181519","0.0205330327153206"
"0.05","Amazon-ratings","hidden_mixing_finetune","fixed","0.474669277667999","0.00747999548912048","0.75","0"
"0.05","Amazon-ratings","hidden_mixing_finetune","reliability_only","0.471827524900436","0.00463824272155762","0.748614025115967","0.0158448610454798"
"0.05","Amazon-ratings","hidden_mixing_finetune","shuffled_reliability","0.475420534610748","0.00823125243186951","0.755189394950867","0.0243825115263462"
"0.05","Amazon-ratings","hidden_mixing_finetune","zero_reliability","0.473330062627792","0.00614078044891357","0.753572499752045","0.0157000966370106"
"0.10","Amazon-ratings","hidden_mixing_finetune","combined","0.476139140129089","0.00894985795021057","0.757596826553345","0.0525506648933515"
"0.10","Amazon-ratings","hidden_mixing_finetune","combined_constant","0.473428046703339","0.00623876452445984","0.75792031288147","0.0351064480375499"
