"strength","dataset","family","comparison","n","delta","low","high","wins","ties","losses"
"0.05","Amazon-ratings","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.00359300971031189","-0.0161682438188164","0.00898222439819267","1","1","3"
"0.05","Amazon-ratings","hidden_mixing_finetune","true reliability - constant reliability","5","-0.0047035813331604","-0.0172578652410724","0.00785070257475161","2","1","2"
"0.05","Amazon-ratings","hidden_mixing_finetune","true reliability - zero reliability","5","-0.00150253772735596","-0.00713219644622437","0.00412712099151245","1","2","2"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined - feature_only","5","0.000718605518341064","-0.00732745091901571","0.00876466195569784","2","2","1"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined - combined_shuffled","5","-0.00225380063056946","-0.0131632708221399","0.00865566956100101","2","1","2"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined - combined_constant","5","0.00189449191093445","-0.00508413703318123","0.00887312085505013","2","2","1"
"0.10","Cora","hidden_mixing_frozen","reliability_only - fixed","5","0","0","0","0","5","0"
"0.10","Cora","hidden_mixing_frozen","combined - fixed","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.10","Cora","hidden_mixing_frozen","true reliability - shuffled reliability","5","0","0","0","0","5","0"
"0.10","Cora","hidden_mixing_frozen","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.10","Cora","hidden_mixing_frozen","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.10","Cora","hidden_mixing_frozen","combined - feature_only","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.10","Cora","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.10","Cora","hidden_mixing_frozen","combined - combined_constant","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.10","Cora","hidden_mixing_finetune","reliability_only - fixed","5","-0.00500000715255737","-0.0290767740850488","0.019076759779934","2","0","3"
"0.10","Cora","hidden_mixing_finetune","combined - fixed","5","0.0029999852180481","-0.0354915949637597","0.0414915653998559","2","0","3"
"0.10","Cora","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.000600004196166992","-0.00182044563961419","0.00302045403194818","1","3","1"
"0.10","Cora","hidden_mixing_finetune","true reliability - constant reliability","5","-0.00520000457763672","-0.018953901936036","0.00855389278076254","0","3","2"
"0.10","Cora","hidden_mixing_finetune","true reliability - zero reliability","5","0.000199997425079346","-0.000355284446834367","0.000755279296993059","1","4","0"
"0.10","Cora","hidden_mixing_finetune","combined - feature_only","5","0.00819998979568481","-0.0125101297668188","0.0289101093581885","3","2","0"
"0.10","Cora","hidden_mixing_finetune","combined - combined_shuffled","5","0.00479999780654907","-0.00852693260840427","0.0181269282215024","1","4","0"
"0.10","Cora","hidden_mixing_finetune","combined - combined_constant","5","0.00859998464584351","-0.0159774264881386","0.0331773957798256","1","3","1"
"0.10","Citeseer","hidden_mixing_frozen","reliability_only - fixed","5","0","-0.00175595545864921","0.00175595545864921","1","3","1"
