dataset,family,control_mode,split,seed,base_alpha,test_accuracy,fixed_test_accuracy,accuracy_delta_pp,corrected_rate,harmed_rate,net_correction_rate,margin_delta_mean,alpha_abs_adjustment_mean,alpha_signed_adjustment_mean,alpha_channel_std_mean,local_channel_fraction_mean,relation_norm_mean,base_mixed_norm_mean,relation_to_base_norm_mean,weighted_local_shift_mean,corr_relation_ratio_margin_delta,corr_alpha_abs_margin_delta,corr_weighted_shift_margin_delta,corrected_relation_norm_mean,harmed_relation_norm_mean,corrected_relation_to_base_norm,harmed_relation_to_base_norm,corrected_alpha_abs_mean,harmed_alpha_abs_mean,corrected_weighted_local_shift_mean,harmed_weighted_local_shift_mean,preference_count,weighted_shift_auc_local_preference,local_channel_fraction_auc_local_preference,alpha_abs_auc_changed_prediction,payload_path
Roman-empire,iterative_relation_frozen,reliability_only,5,0,0.75,0.8483939170837402,0.8279209136962891,2.047300338745117,0.04376985505223274,0.023296859115362167,0.020472995936870575,0.18294470012187958,0.058170709758996964,0.008009404875338078,0.0651073157787323,0.5532535314559937,1.1836309432983398,1.9166306257247925,0.6175581916576849,0.006162857636809349,0.07166007161140442,0.0583636499941349,0.07618517428636551,1.207763910293579,1.1683140993118286,0.6520457807993394,0.6357500173848784,0.05861229449510574,0.05814457684755325,0.0049049826338887215,0.004972988273948431,0,nan,nan,0.5228731138554081,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split5_seed0.pt
Roman-empire,iterative_relation_frozen,combined,5,0,0.75,0.8415107727050781,0.8279209136962891,1.3589859008789062,0.042181432247161865,0.028591599315404892,0.013589832931756973,0.3448261022567749,0.05910405144095421,0.0069543602876365185,0.06590137630701065,0.5480346083641052,1.312918782234192,1.9160187244415283,0.6852327513745331,0.003783018561080098,0.18913382291793823,0.13868208229541779,0.115867480635643,1.3472657203674316,1.3123189210891724,0.7171793237676714,0.7285512103937978,0.05995745211839676,0.05911809578537941,0.00307227554731071,0.004578982014209032,0,nan,nan,0.5217040423541469,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split5_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,6,0,0.75,0.8358630537986755,0.8206847906112671,1.5178263187408447,0.035827744752168655,0.020649489015340805,0.01517825573682785,0.10826034843921661,0.05765659362077713,0.025169670581817627,0.06054329499602318,0.6524278521537781,0.9554873108863831,1.9727972745895386,0.48433122003637313,0.008539116941392422,0.09099342674016953,0.050769053399562836,0.03556415066123009,1.0169851779937744,0.9802061319351196,0.537214206914644,0.5446206542629037,0.05854158475995064,0.05791420489549637,0.009814844466745853,0.008329163305461407,0,nan,nan,0.5681851724071838,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split6_seed0.pt
Roman-empire,iterative_relation_frozen,combined,6,0,0.75,0.832686185836792,0.8206847906112671,1.2001395225524902,0.03282739222049713,0.020825980231165886,0.012001411989331245,0.05140934884548187,0.056390430778265,0.024134589359164238,0.05951820686459541,0.6493351459503174,0.96971595287323,1.969377040863037,0.49239730775386353,0.006157468073070049,0.09845634549856186,0.08186636120080948,0.007567713502794504,1.0472439527511597,1.027795433998108,0.5489776298770567,0.5615178836301374,0.05849267169833183,0.05797065049409866,0.010123094543814659,0.008215589448809624,0,nan,nan,0.6353535902748366,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split6_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,7,0,0.75,0.8344511389732361,0.8199788331985474,1.447230577468872,0.033356864005327225,0.018884574994444847,0.014472289010882378,0.07922976464033127,0.05768324434757233,0.013350537046790123,0.06397063285112381,0.5849157571792603,0.9091320037841797,1.8918954133987427,0.4805403075379029,0.007797012105584145,-0.057812150567770004,-0.034824565052986145,-0.038380082696676254,0.9021863341331482,0.9003543853759766,0.4964621576292422,0.5065111189113303,0.058261774480342865,0.057736434042453766,0.008661058731377125,0.009722258895635605,0,nan,nan,0.5247157121047905,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split7_seed0.pt
Roman-empire,iterative_relation_frozen,combined,7,0,0.75,0.8342746496200562,0.8199788331985474,1.429581642150879,0.04076950252056122,0.026473702862858772,0.014295799657702446,0.2185964733362198,0.061358675360679626,0.009156161919236183,0.06774432957172394,0.553350031375885,1.153693437576294,1.891098141670227,0.6100653435983742,0.005104150157421827,0.09384053200483322,0.002925614593550563,0.07889456301927567,1.1886067390441895,1.1686079502105713,0.6623389607062163,0.6643186785342802,0.062174614518880844,0.06206236407160759,0.007379865273833275,0.008431068621575832,0,nan,nan,0.546029201475126,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split7_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,8,0,0.75,0.8319802284240723,0.8169784545898438,1.5001773834228516,0.035298269242048264,0.020296504721045494,0.01500176452100277,0.14739471673965454,0.0596129447221756,0.010298480279743671,0.06645790487527847,0.5579994916915894,1.0026792287826538,1.903903603553772,0.5266439051384122,0.009633203037083149,-0.08219749480485916,0.00335364299826324,-0.08662821352481842,1.024219036102295,0.9710192084312439,0.531256218094874,0.5456237396412367,0.06003689765930176,0.06001066416501999,0.009878025390207767,0.009866634383797646,0,nan,nan,0.5767581174241759,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split8_seed0.pt
Roman-empire,iterative_relation_frozen,combined,8,0,0.75,0.8296858668327332,0.8169784545898438,1.2707412242889404,0.031238969415426254,0.018531592562794685,0.012707376852631569,0.07105948776006699,0.05376361310482025,0.01437732856720686,0.05997588485479355,0.5903387665748596,0.9230839610099792,1.9034874439239502,0.48494355135176775,0.009908521547913551,-0.13744792342185974,-0.09174663573503494,-0.20484311878681183,0.9380819201469421,0.9236520528793335,0.496979987610238,0.49384213862766385,0.0542437881231308,0.05423272028565407,0.009513258002698421,0.009315336123108864,0,nan,nan,0.572699728355506,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split8_seed0.pt
Roman-empire,iterative_relation_frozen,reliability_only,9,0,1.0,0.8198023438453674,0.8095658421516418,1.0236501693725586,0.024532297626137733,0.014295799657702446,0.010236497968435287,0.054763954132795334,0.020912107080221176,-0.020912107080221176,0.03094559907913208,0.0,0.1322181522846222,2.3967533111572266,0.055165523989944204,-0.02036559022963047,-0.057427406311035156,-0.03467351943254471,0.07172878086566925,0.10801320523023605,0.10911864042282104,0.049418286998984776,0.05095997117503273,0.019903477281332016,0.020544296130537987,-0.017277663573622704,-0.01809985376894474,0,nan,nan,0.4618645880517389,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_reliability_only\split9_seed0.pt
Roman-empire,iterative_relation_frozen,combined,9,0,1.0,0.8194493651390076,0.8095658421516418,0.9883522987365723,0.03688669204711914,0.027003176510334015,0.009883515536785126,0.11340351402759552,0.029685311019420624,-0.029685311019420624,0.0370415598154068,0.0,0.15679672360420227,2.5230348110198975,0.0621460801568646,-0.025665760040283203,-0.06032225862145424,-0.07676857709884644,0.10602020472288132,0.13971491158008575,0.12845242023468018,0.0587082994336919,0.06079378440866463,0.028564266860485077,0.028135119006037712,-0.023122869431972504,-0.02366870641708374,0,nan,nan,0.4173023436601959,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_frozen_combined\split9_seed0.pt
