model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
qk_gt,homophily,3,0.9611111283302307,0.9253968000411987,nan,2.9278266429901123
qk_gt,homophily,4,0.894444465637207,0.8841269612312317,nan,2.1774845123291016
gate_gt,homophily,0,0.9833333492279053,0.958730161190033,-0.046468589908599416,2.1299288272857666
gate_gt,homophily,1,0.9666666388511658,0.9730158448219299,-0.10284392590032347,2.186084508895874
gate_gt,homophily,2,0.9722222089767456,0.9555555582046509,-0.11851125925525019,2.2439639568328857
gate_gt,homophily,3,0.9944444298744202,0.9555555582046509,0.016132727195472055,2.91558837890625
gate_gt,homophily,4,0.949999988079071,0.9412698149681091,-0.009608044599724046,1.9746119976043701
reliability_gt,homophily,0,0.9833333492279053,0.9603174328804016,-0.14386404785947884,2.562692880630493
reliability_gt,homophily,1,0.9611111283302307,0.9841269850730896,0.025378873878255267,3.9243483543395996
reliability_gt,homophily,2,0.9833333492279053,0.9746031761169434,0.31010623647359853,2.508143424987793
reliability_gt,homophily,3,0.9944444298744202,0.9746031761169434,0.1839791756353765,4.679899215698242
reliability_gt,homophily,4,0.9666666388511658,0.9476190209388733,0.296543308691346,3.9153730869293213
mlp,noisy,0,0.5444444417953491,0.5746031999588013,nan,0.10562849044799805
mlp,noisy,1,0.550000011920929,0.5809524059295654,nan,0.0933542251586914
mlp,noisy,2,0.6666666865348816,0.5539682507514954,nan,0.09797286987304688
mlp,noisy,3,0.6333333253860474,0.5603174567222595,nan,0.11919522285461426
mlp,noisy,4,0.5611110925674438,0.5158730149269104,nan,0.10724306106567383
gcn,noisy,0,0.8166666626930237,0.779365062713623,nan,1.3173472881317139
gcn,noisy,1,0.7666666507720947,0.8206349015235901,nan,1.0766818523406982
gcn,noisy,2,0.8111110925674438,0.761904776096344,nan,1.3772614002227783
gcn,noisy,3,0.8055555820465088,0.8095238208770752,nan,1.3886833190917969
gcn,noisy,4,0.7722222208976746,0.776190459728241,nan,2.2123594284057617
linear_gt,noisy,0,0.6000000238418579,0.5714285969734192,nan,3.228454113006592
linear_gt,noisy,1,0.6777777671813965,0.6650793552398682,nan,4.266813278198242
linear_gt,noisy,2,0.6666666865348816,0.6158730387687683,nan,2.7332873344421387
linear_gt,noisy,3,0.6722221970558167,0.6063492298126221,nan,3.976269245147705
linear_gt,noisy,4,0.550000011920929,0.49365079402923584,nan,1.8265366554260254
qk_gt,noisy,0,0.5666666626930237,0.5396825671195984,nan,2.609323024749756
qk_gt,noisy,1,0.6611111164093018,0.6714285612106323,nan,2.8034985065460205
qk_gt,noisy,2,0.6611111164093018,0.6063492298126221,nan,2.209587812423706
qk_gt,noisy,3,0.7055555582046509,0.6126984357833862,nan,4.3661298751831055
qk_gt,noisy,4,0.5611110925674438,0.4714285731315613,nan,2.0192039012908936
gate_gt,noisy,0,0.605555534362793,0.5666666626930237,-0.195591528339125,3.179480791091919
gate_gt,noisy,1,0.644444465637207,0.6269841194152832,0.5101872667615728,2.313770055770874
gate_gt,noisy,2,0.6611111164093018,0.6365079283714294,-0.10022649620452731,2.9669525623321533
gate_gt,noisy,3,0.6777777671813965,0.6460317373275757,-0.0024243654710483136,3.9269373416900635
gate_gt,noisy,4,0.5611110925674438,0.5476190447807312,-0.12397093641530113,3.613616704940796
reliability_gt,noisy,0,0.5722222328186035,0.5301587581634521,-0.032209616671172024,2.298110246658325
reliability_gt,noisy,1,0.6722221970558167,0.6793650984764099,-0.2097605712624673,3.799379587173462
reliability_gt,noisy,2,0.6611111164093018,0.644444465637207,0.23944314341147682,4.090605020523071
reliability_gt,noisy,3,0.6777777671813965,0.6079365015029907,-0.35149907895070986,2.4761900901794434
reliability_gt,noisy,4,0.49444442987442017,0.5206349492073059,-0.006766587198187284,4.964704275131226
