alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
nan,nan,local_similarity,0.45054945054945056,-0.036388072681429455,reliability_only,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,neighbor_variance,0.5824175824175823,0.013718415037650023,reliability_only,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,rwse,0.2857142857142857,-0.04578218856786465,reliability_only,Amazon-ratings,iterative_relation_finetune,0,3,6123
nan,nan,degree,0.611111111111111,-0.024035577455282467,reliability_only,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,local_similarity,0.52,-0.024502459607521752,reliability_only,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,neighbor_variance,0.44000000000000006,0.0012169951663548494,reliability_only,Amazon-ratings,iterative_relation_finetune,0,4,6123
nan,nan,rwse,0.36888888888888893,-0.041367679833867965,reliability_only,Amazon-ratings,iterative_relation_finetune,0,4,6123
-0.621304810501409,-0.6187044004353368,degree,0.5284324464388773,-0.006073768468001622,reliability_only,Amazon-ratings,iterative_relation_finetune,0,5,6123
0.030684716140611003,0.06322527702572463,local_similarity,0.5324546835800856,-0.03451611384035966,reliability_only,Amazon-ratings,iterative_relation_finetune,0,5,6123
-0.07701059915651355,-0.0956881348613792,neighbor_variance,0.48563654994523164,0.01834661844527458,reliability_only,Amazon-ratings,iterative_relation_finetune,0,5,6123
-0.5410361577623053,-0.6048631357570752,rwse,0.4848533031812774,-0.03957075528169315,reliability_only,Amazon-ratings,iterative_relation_finetune,0,5,6123
nan,nan,degree,0.4921875,0.0047803627228752395,reliability_only,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,local_similarity,0.4375,-0.03166151948692527,reliability_only,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,neighbor_variance,0.5,0.0205471431574868,reliability_only,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,rwse,0.328125,-0.03077017850128949,reliability_only,Amazon-ratings,iterative_relation_finetune,0,6,6123
nan,nan,degree,0.5,-0.003941174517971103,reliability_only,Amazon-ratings,iterative_relation_finetune,0,7,6123
nan,nan,local_similarity,0.71875,-0.022556989979954558,reliability_only,Amazon-ratings,iterative_relation_finetune,0,7,6123
nan,nan,neighbor_variance,0.59375,0.014889170795232935,reliability_only,Amazon-ratings,iterative_relation_finetune,0,7,6123
nan,nan,rwse,0.21875,-0.0327460399937359,reliability_only,Amazon-ratings,iterative_relation_finetune,0,7,6123
0.15224031554041748,0.016941139582461354,degree,0.5116758241758241,-0.016705232136115307,reliability_only,Amazon-ratings,iterative_relation_finetune,0,8,6123
-0.46726178319940276,-0.47130526669058875,local_similarity,0.5280785391079509,-0.02325218495218978,reliability_only,Amazon-ratings,iterative_relation_finetune,0,8,6123
0.4516216576866762,0.46020757850298677,neighbor_variance,0.4475126589097177,0.00529732351330628,reliability_only,Amazon-ratings,iterative_relation_finetune,0,8,6123
-0.518466525057886,-0.5475598287941604,rwse,0.4771331609566904,-0.03579353529646454,reliability_only,Amazon-ratings,iterative_relation_finetune,0,8,6123
nan,nan,degree,0.5686274509803922,-0.018889981198007617,reliability_only,Amazon-ratings,iterative_relation_finetune,0,9,6123
nan,nan,local_similarity,0.5359477124183007,-0.035304555327520186,reliability_only,Amazon-ratings,iterative_relation_finetune,0,9,6123
nan,nan,neighbor_variance,0.522875816993464,0.01314494719722536,reliability_only,Amazon-ratings,iterative_relation_finetune,0,9,6123
nan,nan,rwse,0.5751633986928104,-0.04571969078595733,reliability_only,Amazon-ratings,iterative_relation_finetune,0,9,6123
nan,nan,degree,0.4722222222222222,-0.025179032024849477,combined,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,local_similarity,0.3472222222222222,-0.031188094769786037,combined,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,neighbor_variance,0.7083333333333333,0.02106865325068719,combined,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,rwse,0.2638888888888889,-0.04294996163853893,combined,Amazon-ratings,iterative_relation_frozen,0,0,6123
nan,nan,degree,0.5363636363636364,-0.01961692006491941,combined,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,local_similarity,0.5181818181818182,-0.032304345181239286,combined,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,neighbor_variance,0.5818181818181818,0.013343135839450985,combined,Amazon-ratings,iterative_relation_frozen,0,1,6123
nan,nan,rwse,0.5909090909090908,-0.02212349587060006,combined,Amazon-ratings,iterative_relation_frozen,0,1,6123
-0.1592305174705895,-0.1644323455631116,degree,0.5526315789473684,-0.0015979693265965756,combined,Amazon-ratings,iterative_relation_frozen,0,2,6123
-0.11352813381561944,-0.10336854346503639,local_similarity,0.4093567251461988,-0.03470584701383879,combined,Amazon-ratings,iterative_relation_frozen,0,2,6123
0.08558331667552214,0.06326680395274714,neighbor_variance,0.7543859649122807,0.025092257441709207,combined,Amazon-ratings,iterative_relation_frozen,0,2,6123
-0.2627189514829457,-0.2601444275553263,rwse,0.4152046783625731,-0.0490418680769401,combined,Amazon-ratings,iterative_relation_frozen,0,2,6123
nan,nan,degree,0.3324175824175824,-0.008796639985684331,combined,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,local_similarity,0.45054945054945056,-0.036388072681429455,combined,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,neighbor_variance,0.5824175824175823,0.013718415037650023,combined,Amazon-ratings,iterative_relation_frozen,0,3,6123
nan,nan,rwse,0.2857142857142857,-0.04578218856786465,combined,Amazon-ratings,iterative_relation_frozen,0,3,6123
0.19255915553143585,0.18752967510634194,degree,0.611111111111111,-0.024035577455282467,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
-0.11866749494439982,-0.05101775597639545,local_similarity,0.52,-0.024502459607521752,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
0.12011280349168335,0.08985548829115282,neighbor_variance,0.44000000000000006,0.0012169951663548494,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
0.1749190304618873,0.16707034857224912,rwse,0.36888888888888893,-0.041367679833867965,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,degree,0.5284324464388773,-0.006073768468001622,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,local_similarity,0.5324546835800856,-0.03451611384035966,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,neighbor_variance,0.48563654994523164,0.01834661844527458,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,rwse,0.4848533031812774,-0.03957075528169315,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
-0.13303296695427475,-0.11794965430919399,degree,0.4921875,0.0047803627228752395,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
-0.44932306755408796,-0.5637722577603148,local_similarity,0.4375,-0.03166151948692527,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
0.4139089680106725,0.5018612867592757,neighbor_variance,0.5,0.0205471431574868,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
