alpha_mean,bucket,control_mode,count,dataset,degree_mean,family,fraction_of_test,global_preference_rate,local_advantage_mean,local_preference_rate,local_similarity_mean,neighbor_variance_mean,rwse_mean,seed,split,test_accuracy
0.5,low,reliability_only,6123,Amazon-ratings,0.016446534544229507,iterative_relation_finetune,1.0,0.5185185074806213,0.07047181576490402,0.48148149251937866,0.5273684859275818,-0.006983085069805384,0.013893578201532364,0,3,0.4484729766845703
nan,mid,reliability_only,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,3,nan
0.5,high,reliability_only,6123,Amazon-ratings,0.016446534544229507,iterative_relation_finetune,1.0,0.5185185074806213,0.07047181576490402,0.48148149251937866,0.5273684859275818,-0.006983085069805384,0.013893578201532364,0,3,0.4484729766845703
1.0,low,reliability_only,6123,Amazon-ratings,-0.014064298942685127,iterative_relation_finetune,1.0,0.2647058963775635,0.07041243463754654,0.7352941036224365,0.5280535221099854,-0.01203747745603323,-0.004690318834036589,0,4,0.4716642200946808
nan,mid,reliability_only,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,4,nan
1.0,high,reliability_only,6123,Amazon-ratings,-0.014064298942685127,iterative_relation_finetune,1.0,0.2647058963775635,0.07041243463754654,0.7352941036224365,0.5280535221099854,-0.01203747745603323,-0.004690318834036589,0,4,0.4716642200946808
0.7881173491477966,low,reliability_only,1531,Amazon-ratings,0.93244868516922,iterative_relation_finetune,0.25004082965866403,0.5113636255264282,0.06948133558034897,0.4886363744735718,0.50961834192276,0.1645004153251648,0.3928243815898895,0,5,0.4519921541213989
0.7938629984855652,mid,reliability_only,3061,Amazon-ratings,-0.18329130113124847,iterative_relation_finetune,0.4999183406826719,0.5778546929359436,0.0526154451072216,0.4221453368663788,0.5240992307662964,-0.07153481990098953,0.09006813168525696,0,5,0.4838288128376007
0.7989024519920349,high,reliability_only,1531,Amazon-ratings,-0.584891676902771,iterative_relation_finetune,0.25004082965866403,0.47826087474823,0.08119715750217438,0.52173912525177,0.5435547828674316,-0.04174301028251648,-0.5873323678970337,0,5,0.5401698350906372
1.0,low,reliability_only,6123,Amazon-ratings,-0.007341407705098391,iterative_relation_finetune,1.0,0.20000000298023224,0.0701877623796463,0.800000011920929,0.527580738067627,-0.0035617712419480085,-0.0031465881038457155,0,6,0.46692797541618347
nan,mid,reliability_only,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,6,nan
1.0,high,reliability_only,6123,Amazon-ratings,-0.007341407705098391,iterative_relation_finetune,1.0,0.20000000298023224,0.0701877623796463,0.800000011920929,0.527580738067627,-0.0035617712419480085,-0.0031465881038457155,0,6,0.46692797541618347
