model,graph_type,seed,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
linear_gt,homophily,1,0.9333333373069763,0.9428571462631226,-5.0,0.1,2.4496309757232666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,2,0.9444444179534912,0.9285714030265808,-5.0,0.1,2.0031096935272217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,3,0.9611111283302307,0.9111111164093018,-5.0,0.1,2.7696683406829834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,4,0.894444465637207,0.8666666746139526,-5.0,0.1,2.7235236167907715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,5,0.9166666865348816,0.8920634984970093,-5.0,0.1,3.4558160305023193,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,6,0.9333333373069763,0.8999999761581421,-5.0,0.1,1.935319185256958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,7,0.9611111283302307,0.9460317492485046,-5.0,0.1,5.291168451309204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,8,0.9555555582046509,0.9333333373069763,-5.0,0.1,2.253981590270996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,homophily,9,0.9222221970558167,0.9222221970558167,-5.0,0.1,2.126138925552368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
gate_gt,homophily,0,0.9833333492279053,0.958730161190033,-5.0,0.1,2.291513442993164,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.053430597014983656,-0.046471726986194624,0.20961353406980374,0.07881429353242808,-0.13536496660238884,-0.039404904665614846
gate_gt,homophily,1,0.9666666388511658,0.9730158448219299,-5.0,0.1,2.3406715393066406,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.15736286927577608,-0.10284644364142927,0.09383406398802129,-0.35927575575381343,-0.08843825026177378,-0.07541520369109161
gate_gt,homophily,2,0.9722222089767456,0.9555555582046509,-5.0,0.1,2.240262508392334,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02647440176631379,-0.11851131510343738,0.10760865387898855,-0.19641974480849764,-0.17176193398661244,-0.11805467240573152
gate_gt,homophily,3,0.9944444298744202,0.9555555582046509,-5.0,0.1,2.984102487564087,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1016149621474521,0.016130977952753967,-0.094863686439224,-0.09658979252074794,0.1937501716604908,-0.01817741813941772
gate_gt,homophily,4,0.9555555582046509,0.9507936239242554,-5.0,0.1,3.3231778144836426,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17785726435150234,0.03932609164244717,0.10135230690117797,-0.19986709286345766,0.3432871907681409,0.03419386295742224
