alpha_pearson_test,alpha_spearman_test,component,component_auc_for_local_preference,component_corr_local_advantage,control_mode,dataset,family,seed,split,test_count
-0.11866749494439982,-0.05101775597639545,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
0.12011280349168335,0.08985548829115282,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
0.1749190304618873,0.16707034857224912,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,4,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,5,6123
-0.13303296695427475,-0.11794965430919399,degree,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
-0.44932306755408796,-0.5637722577603148,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
0.4139089680106725,0.5018612867592757,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
-0.1631971589050917,-0.18649654418695993,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,6,6123
nan,nan,degree,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
nan,nan,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,7,6123
-0.20484352988379084,-0.23560897389361007,degree,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.3372384658055354,-0.33306411701100647,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
0.2459104655167273,0.24659444006845302,neighbor_variance,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.2590177427925665,-0.2736570910094809,rwse,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,8,6123
-0.204339871852699,-0.22566337818965934,degree,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
-0.317288241055002,-0.3216823727443972,local_similarity,nan,nan,combined,Amazon-ratings,iterative_relation_frozen,0,9,6123
