dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Squirrel,hidden_protocol,combined_shuffled: finetune - frozen,3,-0.000640412171681722,-0.0033958833502987177,0.0021150590069352734,0,2,1,0.42264973081037427
Squirrel,hidden_protocol,combined_constant: finetune - frozen,3,0.000320206085840861,-0.0010575295034676367,0.0016979416751493588,1,2,0,0.42264973081037427
Roman-empire,hidden_protocol,fixed: finetune - frozen,3,0.007294992605845134,0.0009063504337495027,0.013683634777940764,3,0,0,0.039019415028126316
Roman-empire,hidden_protocol,feature_only: finetune - frozen,3,0.006236036618550618,-0.002795288950316035,0.015267362187417272,3,0,0,0.0970783361849088
Roman-empire,hidden_protocol,reliability_only: finetune - frozen,3,0.010471800963083902,0.002172538685073361,0.018771063241094444,3,0,0,0.03229388977722942
Roman-empire,hidden_protocol,combined: finetune - frozen,3,0.01211907466252645,0.0038895755142747002,0.020348573810778196,3,0,0,0.02401421853610043
Roman-empire,hidden_protocol,shuffled_reliability: finetune - frozen,3,0.00647135575612386,-0.002644682540837659,0.01558739405308538,3,0,0,0.0925490705845172
Roman-empire,hidden_protocol,constant_reliability: finetune - frozen,3,0.006706674893697103,0.0021293599797943367,0.011283989807599868,3,0,0,0.024249885221664273
Roman-empire,hidden_protocol,zero_reliability: finetune - frozen,3,0.006236036618550618,-0.0007559552579030375,0.013228028495004273,3,0,0,0.06168956143591546
Roman-empire,hidden_protocol,combined_shuffled: finetune - frozen,3,0.006530185540517171,0.0012145115921062067,0.011845859488928134,3,0,0,0.0339788084039218
Roman-empire,hidden_protocol,combined_constant: finetune - frozen,3,0.006647845109303792,0.0017591773400027653,0.01153651287860482,3,0,0,0.027990378228077695
Cora,hidden_protocol,fixed: finetune - frozen,3,0.011333346366882324,-0.037430107315175765,0.06009680004894041,1,2,0,0.42264973081037427
Cora,hidden_protocol,feature_only: finetune - frozen,3,0.019000013669331867,-0.06275044700928292,0.10075047434794665,1,2,0,0.42264973081037427
Cora,hidden_protocol,reliability_only: finetune - frozen,3,0.018000006675720215,-0.05944777118211614,0.09544778453355657,1,2,0,0.42264973081037427
