dataset,family,control_mode,split,seed,reported_test_primary_at_best_val,recomputed_test_primary_at_best_val,reproduction_delta,reproduction_status,base_alpha,alpha_mean,alpha_std,adjustment_mean,relation_to_base_norm,relation_update_gate_mean,preference_count,local_preference_count,global_preference_count,alpha_auc_for_local_preference,alpha_corr_signed_preference,alpha_corr_local_minus_global_correct,alpha_corr_local_advantage,mean_alpha_local_win_nodes,mean_alpha_global_win_nodes,mean_alpha_both_correct,mean_alpha_both_wrong,alpha_gap_local_minus_global,high_alpha_local_preference_rate,low_alpha_global_preference_rate
Roman-empire,iterative_relation_finetune,feature_only,2,0,0.8259795308113098,0.8229791522026062,-0.0030003786087036133,suspect,0.75,0.7932099103927612,0.0006241640658117831,0.05561435595154762,0.5538746118545532,0.4961128830909729,2323,378,1945,0.3339182002421077,-0.08544649335223944,-0.0011126366855842254,0.02476225639797539,0.7929970026016235,0.7931696772575378,0.7933555245399475,0.7931453585624695,-0.00017267465591430664,0.0416666679084301,0.7654722929000854
Roman-empire,iterative_relation_finetune,reliability_only,0,0,0.8408047556877136,0.8400987982749939,-0.0007059574127197266,ok,0.75,0.7809088826179504,0.007082241587340832,0.05284159630537033,0.5692627429962158,0.5137139558792114,2371,414,1957,0.44722894897296706,-0.05958206440213679,-0.042175454342224916,-0.06777041830570224,0.7801638841629028,0.7812615036964417,0.7816689014434814,0.7797709107398987,-0.0010976195335388184,0.1570248007774353,0.7946902513504028
Roman-empire,iterative_relation_finetune,reliability_only,1,0,0.8538651466369629,0.84892338514328,-0.004941761493682861,suspect,0.5,0.5342530012130737,0.0032918003853410482,0.05323188379406929,0.5486564040184021,0.4716203510761261,2364,415,1949,0.46355560775683546,-0.04678975961094668,0.006665861922863494,-0.012202983989547597,0.5337088704109192,0.5341285467147827,0.5346706509590149,0.5341964960098267,-0.0004196763038635254,0.17168141901493073,0.7898550629615784
Roman-empire,iterative_relation_finetune,reliability_only,2,0,0.8432756662368774,0.841863751411438,-0.0014119148254394531,suspect,0.75,0.7763310074806213,0.0030767880380153656,0.04557769000530243,0.5293033719062805,0.5535475611686707,2323,378,1945,0.5098135226669931,0.008028007014657326,0.016674585433052305,-0.006337534443684207,0.7763538956642151,0.7762897610664368,0.7762147784233093,0.7766895294189453,6.413459777832031e-05,0.17870722711086273,0.8278260827064514
Roman-empire,iterative_relation_frozen,combined,0,0,0.8288033604621887,0.8245675563812256,-0.004235804080963135,suspect,0.75,0.7692786455154419,0.009848958812654018,0.06406949460506439,0.7497450709342957,0.4990331828594208,2371,414,1957,0.5876520307381652,0.11837656926288315,0.044768561062453104,0.12414414312987644,0.772140383720398,0.7691822648048401,0.7671558856964111,0.7713279128074646,0.0029581189155578613,0.23089700937271118,0.8996478915214539
Roman-empire,iterative_relation_frozen,combined,1,0,0.8409812450408936,0.8392163515090942,-0.0017648935317993164,suspect,0.5,0.5108447670936584,0.006565453484654427,0.06789011508226395,0.7433737516403198,0.4988897442817688,2364,415,1949,0.5965005223562284,0.14001486279739564,0.09108913750154222,0.1309830162893469,0.5126433372497559,0.5102494359016418,0.5097126960754395,0.5127559900283813,0.0023939013481140137,0.27047619223594666,0.867330014705658
Roman-empire,iterative_relation_frozen,combined,2,0,0.8302152752876282,0.8268619775772095,-0.003353297710418701,suspect,0.75,0.7705699801445007,0.0039957547560334206,0.05153393745422363,0.5289422273635864,0.451069712638855,2323,378,1945,0.552007589668258,0.06422648474116494,0.04232388569881663,0.10213912677452643,0.7711488604545593,0.7704682350158691,0.7702888250350952,0.7711947560310364,0.0006806254386901855,0.18000000715255737,0.8760757446289062
Roman-empire,iterative_relation_frozen,feature_only,0,0,0.8109777569770813,0.8150370121002197,0.004059255123138428,suspect,0.75,0.7771346569061279,0.0013955658068880439,0.042746979743242264,0.42817047238349915,0.4480782747268677,2371,414,1957,0.3642097363854268,-0.2602817500766844,-0.16500986570038972,-0.1729340966338055,0.7764594554901123,0.7773783802986145,0.7774448394775391,0.7766292095184326,-0.0009189248085021973,0.0856672152876854,0.7145833373069763
Roman-empire,iterative_relation_frozen,feature_only,1,0,0.8289798498153687,0.8243910670280457,-0.004588782787322998,suspect,0.5,0.536095380783081,0.0016941301291808486,0.06847714632749557,0.5317289233207703,0.38870057463645935,2364,415,1949,0.44929373728881666,-0.05951249476161763,0.003310738171266989,0.05879080731126368,0.5357244610786438,0.5359997749328613,0.5365445017814636,0.5357378721237183,-0.0002753138542175293,0.06616257131099701,0.8113496899604797
Roman-empire,iterative_relation_frozen,feature_only,2,0,0.816448986530304,0.8220967054367065,0.005647718906402588,suspect,0.75,0.7696477770805359,0.0005167487543076277,0.03793890029191971,0.396003395318985,0.4573034346103668,2323,378,1945,0.3284694169012935,-0.20428520261769442,-0.12222155291066165,-0.041990336034522964,0.7694374918937683,0.7697194218635559,0.7697381973266602,0.7695372700691223,-0.00028192996978759766,0.06060606241226196,0.732758641242981
