dataset,family,control_mode,primary_metric,n,test_primary_mean,test_primary_std,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_primary_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Questions,iterative_relation_finetune,constant_reliability,roc_auc,3,0.7777289704593224,0.009383046504519441,0.971602201461792,0.0011491436501125125,0.5999457309616363,0.7777289704593224,3.700743415417188e-17,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.145808537801107,0.5034510890642802,0.10532820224761963,nan,nan,nan,260866.0,157568.0,94722.0
Questions,iterative_relation_finetune,feature_only,roc_auc,3,0.7777289704593223,0.009383007291788484,0.971602201461792,0.0011491436501125125,0.5999457309616363,0.7777289704593224,-3.700743415417188e-17,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0158689816792807,0.5050347646077474,0.10256259143352509,nan,nan,nan,260866.0,156544.0,94722.0
Questions,iterative_relation_finetune,fixed,roc_auc,3,0.7780583717570712,0.009839140257083058,0.9708391229311625,0.00026977796335505655,0.5706531160828004,0.7777289704593224,0.00032940129774875854,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,94722.0,0.0,94722.0
Questions,iterative_relation_finetune,reliability_only,roc_auc,3,0.7791884567934015,0.008963046363773685,0.9716294606526693,0.0011387530517699847,0.5994575157414943,0.7777289704593224,0.0014594863340791446,0.75,0.74630206823349,0.008024592573444048,0.0036979420110583305,0.03274861971537272,0.00652500552435716,0.1211501955986023,0.10959675908088684,3.031461556752523,0.5226887861887614,0.17458206166823706,0.34881799603246,0.08153817279648605,0.20168019530561998,260866.0,157568.0,94722.0
Questions,iterative_relation_finetune,shuffled_reliability,roc_auc,3,0.7777288934964023,0.009383080128422702,0.971602201461792,0.0011491436501125125,0.5999457309616363,0.7777289704593224,-7.696292007401222e-08,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0891051292419434,0.503075361251831,0.10497582952181499,nan,nan,nan,260866.0,157568.0,94722.0
Questions,iterative_relation_frozen,constant_reliability,roc_auc,3,0.7770901782230338,0.010010134672200877,0.9715476830800375,0.00120345657141619,0.6009533414603889,0.7777289704593224,-0.0006387922362885249,0.75,0.7488860686620077,0.0042608122651775675,0.004233904493351777,0.011123518149058024,0.002707422710955143,0.03120450923840205,0.022634737193584442,2.643069267272949,0.5041843255360922,0.11710441360870998,-0.2733916703232744,0.06413484121751914,nan,166144.0,157568.0,0.0
Questions,iterative_relation_frozen,feature_only,roc_auc,3,0.7765676769589179,0.01055286778194128,0.9714114268620809,0.0013489419984802223,0.6016861933912195,0.7777289704593224,-0.0011612935004045033,0.75,0.7482234835624695,0.007073912148674329,0.006892990320920944,0.01689799626668294,0.004633121192455292,0.05338111023108164,0.0364468718568484,2.8492550055185952,0.5077304244041443,0.13127358506123224,-0.306646161570363,0.21828850607634787,nan,166144.0,156544.0,0.0
Questions,iterative_relation_frozen,fixed,roc_auc,3,0.7777289704593224,0.009383007291788537,0.971602201461792,0.0011491436501125125,0.5999457309616363,0.7777289704593224,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Questions,iterative_relation_frozen,reliability_only,roc_auc,3,0.7779422347107386,0.009797239100210181,0.9711661537488302,0.0014260245704165958,0.6018810302341406,0.7777289704593224,0.000213264251416286,0.75,0.7408740321795145,0.016757387357453506,0.011492995855708918,0.04443188508351644,0.004685284569859505,0.07421159247557323,0.21710722769300142,4.136107683181763,0.5300745368003845,0.2238649527231852,0.17258539399079886,0.027956221052417338,0.10311844832468514,166144.0,157568.0,0.0
Questions,iterative_relation_frozen,shuffled_reliability,roc_auc,3,0.7767101353239023,0.01040251893369308,0.9714114268620809,0.0013489419984802223,0.601119093497365,0.7777289704593224,-0.0010188351354201153,0.75,0.7480355501174927,0.007033525034785271,0.006852647910515468,0.016589840253194172,0.004565306318302949,0.05229767660299937,0.036523789167404175,2.8783783515294394,0.5032267967859904,0.1275611345966657,-0.17379039206325642,0.1665814920756756,0.3303981459352349,166144.0,157568.0,0.0
Tolokers,iterative_relation_finetune,constant_reliability,roc_auc,3,0.8541746310620911,0.00493342406974458,0.8263038595517477,0.011029814077720648,0.6919607563352295,0.8470222650605024,0.00715236600158875,0.9166666666666666,0.9269375006357828,0.020194088108837605,0.017151427377636235,0.06631235281626384,0.02335047349333763,0.46374183893203735,0.13786669075489044,4.041632692019145,0.4872913658618927,0.2559877733389537,-0.0967795407146567,-0.31229365874191295,nan,242242.0,157568.0,76098.0
Tolokers,iterative_relation_finetune,feature_only,roc_auc,3,0.8537990053204422,0.0051321852721632885,0.8274376591046652,0.01121359777767192,0.6924414883937682,0.8470222650605024,0.006776740259939795,0.9166666666666666,0.9203489224116007,0.02052054802576701,0.013919597336401543,0.06634839375813802,0.02563277507821719,0.4678737421830495,0.14795339107513428,4.189428726832072,0.43491872151692706,0.2486067165931066,0.004350682422768235,-0.32574680304758086,nan,242242.0,156544.0,76098.0
Tolokers,iterative_relation_finetune,fixed,roc_auc,3,0.8537659050671178,0.005295196082586267,0.825170079867045,0.010712923709542637,0.6967666303824436,0.8470222650605024,0.006743640006615499,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,76098.0,0.0,76098.0
Tolokers,iterative_relation_finetune,reliability_only,roc_auc,3,0.8519031402989823,0.005189799007757403,0.8231292565663656,0.006109824091671166,0.677967203773631,0.8470222650605024,0.0048808752384799465,0.9166666666666666,0.9130478302637736,0.021829163034756977,0.014634199440479279,0.0652822454770406,0.01783009059727192,0.315317506591479,0.2038759042819341,4.309348305066426,0.4858264625072479,0.26325185348590213,0.2685679853409526,-0.30496709555545803,-0.09164784055265393,242242.0,157568.0,76098.0
Tolokers,iterative_relation_finetune,shuffled_reliability,roc_auc,3,0.8478226585581213,0.003985775953910106,0.8214285969734192,0.002499487870923703,0.6927204200524106,0.8470222650605024,0.0008003934976189934,0.9166666666666666,0.9040480852127075,0.031153326233228047,0.021629538387060165,0.09604575236638387,0.04118601853648821,0.650461013118426,0.3628392567237218,5.770303249359131,0.502894252538681,0.36725406845410663,-0.04894965482549531,-0.05580506251073845,-0.10372589055634643,242242.0,157568.0,76098.0
Tolokers,iterative_relation_frozen,constant_reliability,roc_auc,3,0.8469664578074574,0.007287067828787558,0.8200680613517761,0.00502204115179228,0.676710342713062,0.8470222650605024,-5.580725304499268e-05,0.9166666666666666,0.9136120080947876,0.029400296819706757,0.026874309095243614,0.048686822255452476,0.016928800692160923,0.19562853996952376,0.12735377376278242,4.243944088617961,0.5077896515528361,0.18888486921787262,-0.0671049008646074,-0.3207066559434425,nan,166144.0,157568.0,0.0
Tolokers,iterative_relation_frozen,feature_only,roc_auc,3,0.8466697981991654,0.006389308027013147,0.8205215533574423,0.009637855462735516,0.684430639548641,0.8470222650605024,-0.0003524668613369049,0.9166666666666666,0.9025525053342184,0.04266136263807615,0.03786937209467093,0.08208332459131877,0.020865703312059242,0.2678457796573639,0.1836969181895256,5.521797339121501,0.5277630090713501,0.2838982343673706,-0.16592497172173312,-0.17450328954467342,nan,166144.0,156544.0,0.0
Tolokers,iterative_relation_frozen,fixed,roc_auc,3,0.8470222650605024,0.007533206386319618,0.8209750850995382,0.008516229501603065,0.6695960307676934,0.8470222650605024,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Tolokers,iterative_relation_frozen,reliability_only,roc_auc,3,0.8464934517983492,0.007871228244606362,0.8204081853230795,0.008501115545811282,0.6798229944505209,0.8470222650605024,-0.0005288132621531494,0.9166666666666666,0.9052825172742208,0.039428778613607086,0.03406661283224821,0.08178383111953735,0.01920298091135919,0.25256764764587086,0.16736801465352377,5.378296375274658,0.4939547081788381,0.267529954512914,-0.17157579858634844,0.03594626712568238,-0.04649240906989181,166144.0,157568.0,0.0
Tolokers,iterative_relation_frozen,shuffled_reliability,roc_auc,3,0.8466121834237547,0.00799715911481201,0.8202947974205017,0.006048509099287741,0.6851885329328821,0.8470222650605024,-0.0004100816367477167,0.9166666666666666,0.900518516699473,0.03089790667096774,0.02865173916021983,0.06476678450902303,0.013920848568280539,0.18566992382208505,0.1355254997809728,4.592589100201924,0.4976719121138255,0.26798533648252487,-0.0242635490626532,0.07793503080816777,-0.21145963620345892,166144.0,157568.0,0.0
