dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Roman-empire,iterative_relation_protocol,reliability_only: finetune - frozen,10,0.011348390579223632,0.005629479881848928,0.017067301276598338,10,0,0,0.001512825753550528
Roman-empire,iterative_relation_protocol,combined: finetune - frozen,10,0.012901514768600464,0.008473016393139885,0.017330013144061043,10,0,0,0.00010038718552029848
Roman-empire,iterative_relation_protocol,shuffled_reliability: finetune - frozen,10,0.0047299742698669435,0.0015002307456928035,0.007959717794041084,8,0,2,0.009041453635536977
Roman-empire,iterative_relation_protocol,constant_reliability: finetune - frozen,10,0.0016413629055023193,-0.0027801699739778444,0.006062895784982483,6,0,4,0.42278943634384825
Amazon-ratings,iterative_relation_protocol,fixed: finetune - frozen,10,0.003870654106140137,-0.00011610742995168868,0.007857415642231962,4,6,0,0.05567766674594767
Amazon-ratings,iterative_relation_protocol,feature_only: finetune - frozen,10,0.006565409898757935,0.0008123259275886674,0.012318493869927203,6,3,1,0.029620238491733123
Amazon-ratings,iterative_relation_protocol,reliability_only: finetune - frozen,10,0.0070063680410385135,0.0018683209156320655,0.01214441516644496,6,3,1,0.013039893011624502
Amazon-ratings,iterative_relation_protocol,combined: finetune - frozen,10,0.007039034366607666,0.0010956922654566546,0.012982376467758676,6,3,1,0.025239126220504365
Amazon-ratings,iterative_relation_protocol,shuffled_reliability: finetune - frozen,10,0.006630739569664002,0.0010891682013285404,0.012172310937999463,6,4,0,0.024124639427807584
Amazon-ratings,iterative_relation_protocol,constant_reliability: finetune - frozen,10,0.005079206824302673,0.0006637921682504291,0.009494621480354917,5,4,1,0.028632890460436135
