dataset,router,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Squirrel,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.00048030316829681394,-0.003345848535145806,0.002385242198552178,5,1,4
Actor,reliability_only,utility routing - validation-selected best expert,10,-0.0009868383407592774,-0.0030472387279624814,0.0010735620464439265,1,6,3
Actor,reliability_only,utility-checkpoint routing - validation-selected best expert,10,-0.0015789449214935302,-0.002895209846269902,-0.0002626799967171585,0,3,7
Actor,reliability_only,utility routing - validation-selected fixed alpha,10,-0.0018421024084091186,-0.00404731533436741,0.00036311051754917304,1,3,6
Actor,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0024342089891433716,-0.0038556495739513015,-0.001012768404335442,0,2,8
Actor,node_feature_only,utility routing - validation-selected best expert,10,0.0002631574869155884,-0.002239015657754308,0.002765330631585485,4,3,3
Actor,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,-0.0003947347402572632,-0.0035102271623304554,0.0027207576818159287,3,1,6
Actor,node_feature_only,utility routing - validation-selected fixed alpha,10,-0.0005921065807342529,-0.0036296053513818227,0.0024453921899133166,4,1,5
Actor,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0012499988079071045,-0.004213682261108319,0.0017136846452941099,3,2,5
Actor,combined,utility routing - validation-selected best expert,10,-6.578564643859864e-05,-0.0017178373314041052,0.0015862660385269078,4,4,2
Actor,combined,utility-checkpoint routing - validation-selected best expert,10,-0.0019736826419830323,-0.0039580262698404945,1.0660985874429846e-05,2,0,8
Actor,combined,utility routing - validation-selected fixed alpha,10,-0.0009210497140884399,-0.003932097449456548,0.002089998021279668,4,3,3
Actor,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.0028289467096328734,-0.005780972958840882,0.00012307953957513534,2,0,8
Roman-empire,reliability_only,utility routing - validation-selected best expert,10,0.00037063956260681153,-0.0002986276497606263,0.0010399067749742494,6,2,2
Roman-empire,reliability_only,utility-checkpoint routing - validation-selected best expert,10,3.5303831100463864e-05,-0.000616138791855714,0.0006867464540566417,5,0,5
Roman-empire,reliability_only,utility routing - validation-selected fixed alpha,10,-0.014048701524734497,-0.017351852976431378,-0.010745550073037617,0,0,10
Roman-empire,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.014384037256240845,-0.017526189713411557,-0.011241884799070135,0,0,10
Roman-empire,node_feature_only,utility routing - validation-selected best expert,10,-0.0001941382884979248,-0.0004203780593605574,3.2101482364707784e-05,0,7,3
Roman-empire,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,5.960464477539063e-09,-0.0007984880976596969,0.000798500018588652,5,0,5
Roman-empire,node_feature_only,utility routing - validation-selected fixed alpha,10,-0.014613479375839233,-0.017670230736963638,-0.011556728014714829,0,0,10
Roman-empire,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,-0.01441933512687683,-0.01746112644465422,-0.01137754380909944,0,0,10
Roman-empire,combined,utility routing - validation-selected best expert,10,0.006283086538314819,0.004081612091662478,0.00848456098496716,10,0,0
Roman-empire,combined,utility-checkpoint routing - validation-selected best expert,10,0.0065478324890136715,0.004596945067526968,0.008498719910500375,10,0,0
Roman-empire,combined,utility routing - validation-selected fixed alpha,10,-0.00813625454902649,-0.011204955422191036,-0.0050675536758619435,0,0,10
Roman-empire,combined,utility-checkpoint routing - validation-selected fixed alpha,10,-0.007871508598327637,-0.011350677556075751,-0.004392339640579522,0,0,10
Amazon-ratings,reliability_only,utility routing - validation-selected best expert,10,0.00029397308826446534,-0.00024789036061206995,0.0008358365371410007,3,6,1
Amazon-ratings,reliability_only,utility-checkpoint routing - validation-selected best expert,10,4.8995018005371094e-05,-0.00021541788784444957,0.00031340792385519176,2,6,2
Amazon-ratings,reliability_only,utility routing - validation-selected fixed alpha,10,0.00029397308826446534,-0.00024789036061206995,0.0008358365371410007,3,6,1
Amazon-ratings,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,4.8995018005371094e-05,-0.00021541788784444957,0.00031340792385519176,2,6,2
Amazon-ratings,node_feature_only,utility routing - validation-selected best expert,10,0.0010452389717102051,-0.001046294955798809,0.0031367728992192194,2,6,2
