dataset,comparison,metric,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Actor,reliability_only - node_feature_only,test_balanced_accuracy,10,-0.0015192495757001434,-0.02879362277256351,0.025755123621163223,5,0,5
Actor,reliability_only - node_feature_only,test_routing_accuracy,10,0.011414063721769906,-0.02739719973411028,0.05022532717765009,7,0,3
Actor,combined - node_feature_only,test_preference_auc,10,0.008502461530673345,-0.026259641095913232,0.04326456415725992,4,0,6
Actor,combined - node_feature_only,test_balanced_accuracy,10,0.0033067915433982074,-0.02911814884830553,0.03573173193510194,2,0,8
Actor,combined - node_feature_only,test_routing_accuracy,10,-0.009361668877459057,-0.05848911898997318,0.03976578123505506,3,0,7
Roman-empire,reliability_only - node_feature_only,test_preference_auc,10,-0.06833517314993286,-0.07855381511700515,-0.05811653118286056,0,0,10
Roman-empire,reliability_only - node_feature_only,test_balanced_accuracy,10,-0.0570105404851986,-0.06847866887761064,-0.04554241209278656,0,0,10
Roman-empire,reliability_only - node_feature_only,test_routing_accuracy,10,-0.023398448241356486,-0.04414586398113182,-0.0026510325015811458,2,0,8
Roman-empire,combined - node_feature_only,test_preference_auc,10,0.06159990237970979,0.05509054433931766,0.06810926042010192,10,0,0
Roman-empire,combined - node_feature_only,test_balanced_accuracy,10,0.04870952860575256,0.03693200529177573,0.06048705191972939,10,0,0
Roman-empire,combined - node_feature_only,test_routing_accuracy,10,0.10826473086136208,0.09383205331934902,0.12269740840337515,10,0,0
Amazon-ratings,reliability_only - node_feature_only,test_preference_auc,10,0.03926235928390854,-0.05376095586089064,0.13228567442870773,5,0,5
Amazon-ratings,reliability_only - node_feature_only,test_balanced_accuracy,10,0.03810983464616136,-0.0569079301980348,0.13312759949035752,5,0,5
Amazon-ratings,reliability_only - node_feature_only,test_routing_accuracy,10,0.0759783968664976,-0.056871604452056274,0.20882839818505147,5,1,4
Amazon-ratings,combined - node_feature_only,test_preference_auc,10,0.08563357317262998,-0.03218620616618746,0.20345335251144742,6,0,4
Amazon-ratings,combined - node_feature_only,test_balanced_accuracy,10,0.03496109834391047,-0.04851405376108359,0.11843625044890455,5,1,4
Amazon-ratings,combined - node_feature_only,test_routing_accuracy,10,0.04323305022947958,-0.042100977151568825,0.128567077610528,7,0,3
Minesweeper,reliability_only - node_feature_only,test_preference_auc,0,nan,nan,nan,0,0,0
Minesweeper,reliability_only - node_feature_only,test_balanced_accuracy,0,nan,nan,nan,0,0,0
Minesweeper,reliability_only - node_feature_only,test_routing_accuracy,0,nan,nan,nan,0,0,0
Minesweeper,combined - node_feature_only,test_preference_auc,0,nan,nan,nan,0,0,0
Minesweeper,combined - node_feature_only,test_balanced_accuracy,0,nan,nan,nan,0,0,0
Minesweeper,combined - node_feature_only,test_routing_accuracy,0,nan,nan,nan,0,0,0
