tag,family,label,components,graph_type,model,n,left_mean,right_mean,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_pvalue
rel_only_rwse,only,Only RWSE,rwse,heterophily,gate_gt,10,0.8531746208667755,0.8411111295223236,0.012063491344451904,0.01714807978270787,-0.0002035059525472057,0.024330488641451015,8,0,2,0.053160905219802004
rel_only_rwse,only,Only RWSE,rwse,heterophily,reliability_gt,10,0.863492089509964,0.8636508107185363,-0.0001587212085723877,0.020890417878858283,-0.015102825907195949,0.014785383490051174,5,0,5,0.9813558664915194
rel_only_rwse,only,Only RWSE,rwse,homophily,gate_gt,10,0.9714285850524902,0.9685714423656464,0.002857142686843872,0.008325555622600563,-0.003098601023973495,0.00881288639766124,6,3,1,0.3060351236623131
rel_only_rwse,only,Only RWSE,rwse,homophily,reliability_gt,10,0.9679365277290344,0.9682539880275727,-0.00031746029853820803,0.00784068964288796,-0.005926351782289362,0.005291431185212945,4,0,6,0.900935095263928
rel_only_rwse,only,Only RWSE,rwse,noisy,gate_gt,10,0.6161904811859131,0.6071428656578064,0.009047615528106689,0.012409634852811116,0.00017029753535465972,0.017924933520858718,8,0,2,0.04657423111736554
rel_only_rwse,only,Only RWSE,rwse,noisy,reliability_gt,10,0.6260317623615265,0.6117460429668427,0.014285719394683838,0.023159856878434547,-0.0022818441650058734,0.030853282954373548,7,0,3,0.08288799026422301
rel_without_degree,without,Without degree,"local_similarity,neighbor_variance,rwse",heterophily,gate_gt,10,0.8533333480358124,0.8411111295223236,0.012222218513488769,0.013068887263181131,0.00287329975618909,0.021571137270788448,8,0,2,0.016026824612473355
rel_without_degree,without,Without degree,"local_similarity,neighbor_variance,rwse",heterophily,reliability_gt,10,0.8682539880275726,0.8636508107185363,0.004603177309036255,0.01744346607823812,-0.007875126614404728,0.017081481232477238,7,0,3,0.4255960724683444
rel_without_degree,without,Without degree,"local_similarity,neighbor_variance,rwse",homophily,gate_gt,10,0.9687301695346833,0.9685714423656464,0.00015872716903686523,0.006711451412290424,-0.004642355947950288,0.004959810286024018,3,4,3,0.9420189545919654
rel_without_degree,without,Without degree,"local_similarity,neighbor_variance,rwse",homophily,reliability_gt,10,0.9690476417541504,0.9682539880275727,0.0007936537265777587,0.005759667059310188,-0.0033265638804933382,0.004913871333648856,4,5,1,0.6732850103952688
rel_without_degree,without,Without degree,"local_similarity,neighbor_variance,rwse",noisy,gate_gt,10,0.605396842956543,0.6071428656578064,-0.0017460227012634278,0.012214077390124756,-0.010483447312565211,0.006991401910038357,3,0,7,0.6619288769159882
rel_without_degree,without,Without degree,"local_similarity,neighbor_variance,rwse",noisy,reliability_gt,10,0.6088888943195343,0.6117460429668427,-0.0028571486473083496,0.028035335955307304,-0.022912419834640645,0.017198122540023945,5,0,5,0.7546042796027259
rel_without_local_sim,without,Without local similarity,"degree,neighbor_variance,rwse",heterophily,gate_gt,10,0.8450793862342835,0.8411111295223236,0.003968256711959839,0.01257101522930906,-0.005024505847610991,0.01296101927153067,5,0,5,0.34424951435994255
rel_without_local_sim,without,Without local similarity,"degree,neighbor_variance,rwse",heterophily,reliability_gt,10,0.8636508166790009,0.8636508107185363,5.960464477539063e-09,0.021596109540330533,-0.015448920141691642,0.015448932062620598,6,0,4,0.9999993226621016
rel_without_local_sim,without,Without local similarity,"degree,neighbor_variance,rwse",homophily,gate_gt,10,0.9701587438583374,0.9685714423656464,0.00158730149269104,0.0060788967212336,-0.0027612792576332925,0.0059358822430153725,4,3,3,0.43030459197960824
rel_without_local_sim,without,Without local similarity,"degree,neighbor_variance,rwse",homophily,reliability_gt,10,0.9658730387687683,0.9682539880275727,-0.002380949258804321,0.004920917479619479,-0.005901161561648852,0.0011392630440402096,2,3,5,0.16036186837469496
rel_without_local_sim,without,Without local similarity,"degree,neighbor_variance,rwse",noisy,gate_gt,10,0.6192063570022583,0.6071428656578064,0.012063491344451904,0.024954254413051432,-0.005787706883714449,0.029914689572618256,6,1,3,0.16068526854410334
