dataset,family,control_mode,intervention,n,primary_drop_mean,ci95_low,ci95_high,acc_drop_mean,prediction_change_rate_mean,normal_only_correct_rate_mean,intervention_only_correct_rate_mean,wins,ties,losses
Roman-empire,iterative_relation_frozen,combined,zero_layer_0,10,0.008489233255386353,0.006230371027546399,0.010748095483226307,0.008489233255386353,0.055171195045113565,0.025044121779501438,0.016554888244718312,10,0,0
Roman-empire,iterative_relation_frozen,combined,zero_layer_1,10,0.004359334707260132,0.00274572944757357,0.005972939966946694,0.004359334707260132,0.047087890841066835,0.019572890526615084,0.01521355421282351,10,0,0
Roman-empire,iterative_relation_frozen,combined,shuffled_reliability,10,0.02398516535758972,0.017820808887268932,0.03014952182791051,0.02398516535758972,0.08448640815913677,0.0438757486641407,0.019890574738383293,10,0,0
Roman-empire,iterative_relation_frozen,combined,constant_reliability,10,0.02315565347671509,0.018223725203474036,0.028087581749956143,0.02315565347671509,0.08757500797510147,0.04415813535451889,0.021002470329403878,10,0,0
Roman-empire,iterative_relation_frozen,fixed,zero_all,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_frozen,fixed,zero_layer_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_frozen,fixed,zero_layer_1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_frozen,fixed,shuffled_reliability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_frozen,fixed,constant_reliability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_frozen,reliability_only,zero_all,10,0.0171373188495636,0.01433089379517611,0.019943743903951087,0.0171373188495636,0.07525591030716897,0.03701023571193218,0.019872925989329816,10,0,0
Roman-empire,iterative_relation_frozen,reliability_only,zero_layer_0,10,0.0075891375541687015,0.005614290117527293,0.00956398499081011,0.0075891375541687015,0.054535825923085215,0.023949876055121423,0.016360747814178466,10,0,0
Roman-empire,iterative_relation_frozen,reliability_only,zero_layer_1,10,0.009283465147018433,0.005278458319391618,0.01328847197464525,0.009283465147018433,0.04738792679272592,0.022396751563064754,0.013113306928426027,9,1,0
Roman-empire,iterative_relation_frozen,reliability_only,shuffled_reliability,10,0.026438415050506592,0.020792213952634656,0.03208461614837853,0.026438415050506592,0.0885810062289238,0.046752558648586275,0.020314154028892518,10,0,0
Roman-empire,iterative_relation_frozen,reliability_only,constant_reliability,10,0.027038490772247313,0.022883043887660555,0.03119393765683407,0.027038490772247313,0.0940522387623787,0.04885280504822731,0.02181433029472828,10,0,0
