model,graph_type,seed,best_val_acc,test_acc_at_best_val,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
reliability_gt,heterophily,0,0.9166666865348816,0.8126984238624573,8.730068683624268,0.006754641886800528,0.006591282319277525,0.00691800145432353,0.4274647112998534,-0.18167433085122547,0.3265936488234042,0.02956219243910232,-0.03453000200657484,-0.1725946736454215
reliability_gt,heterophily,1,0.9166666865348816,0.89682537317276,9.063055753707886,0.006757180439308286,0.006589197553694248,0.006925163324922323,0.003311134039406092,-0.0793176655891439,0.05558433075017746,0.17152351231467533,-0.12463877554833855,-0.018570969569328247
reliability_gt,heterophily,2,0.8888888955116272,0.8333333134651184,3.324535608291626,0.006906295428052545,0.006654751021414995,0.007157839834690094,0.1369053979275382,0.01958134186827525,0.25772596405193854,0.012475889457748265,-0.0063387176641665635,0.022852351662400166
reliability_gt,heterophily,3,0.8833333253860474,0.8714285492897034,2.7325284481048584,0.0068436176516115665,0.006634271237999201,0.007052964065223932,-0.07368643476682009,0.04831391262691377,0.07733462693948882,0.11358419566988988,-0.06565239130213854,0.05517263984380212
reliability_gt,heterophily,4,0.855555534362793,0.8238095045089722,2.7236084938049316,0.006734673632308841,0.006613691337406635,0.006855655927211046,0.04497448655697289,0.08572840243436688,-0.04054511981929821,0.008125459542489246,0.5141749461242208,-0.0389677237220353
reliability_gt,heterophily,5,0.8277778029441833,0.8444444537162781,4.458125114440918,0.0067583066411316395,0.006756755989044905,0.006759857293218374,0.1536239356598922,0.24124843139947608,0.4029235922648546,-0.08266871231524824,0.2384566472677947,0.060546990645846815
reliability_gt,heterophily,6,0.8500000238418579,0.8492063283920288,3.4743146896362305,0.0067333674523979425,0.00660379882901907,0.006862936075776815,-0.14667025770781864,-0.24220309208414634,0.024657998719429974,-0.1762518423528976,-0.25479244565782333,-0.008560262116237723
reliability_gt,heterophily,7,0.8666666746139526,0.8698412775993347,3.790377140045166,0.006779231829568744,0.006633293814957142,0.0069251698441803455,0.0033790744848298496,0.14199377950935743,-0.11711588041890836,-0.03639063625472296,0.07829595819198415,0.12282508139310337
reliability_gt,heterophily,8,0.8833333253860474,0.8650793433189392,2.5891966819763184,0.006796892266720533,0.006718529853969812,0.006875254679471254,0.13011052182104338,0.3891874153941905,0.4281953343489961,-0.049258141960385284,0.3848840149854861,0.008478004940653438
reliability_gt,heterophily,9,0.8666666746139526,0.8920634984970093,4.742598533630371,0.006698666140437126,0.006516048219054937,0.006881284061819315,0.07911871333445113,0.043710942512619005,0.184249357181462,0.26116954350433663,0.3520568632138343,-0.016259568983317946
