dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Cora,hidden_mixing_frozen,zero_reliability,10,0.6859000325202942,0.010501911668707993,0.6700872085370096,0.6860000312328338,-9.999871253967285e-05,0.8,0.7996999859809876,0.0,0.0009999999310821295,0.0009999999310821295,nan,nan,nan,34948.0,26372.0,0.0
Pubmed,hidden_mixing_finetune,combined,10,0.7285000383853912,0.01444471863619352,0.7308369246717094,0.7289000391960144,-0.0004000008106231689,0.875,0.86633859872818,0.00844534464267781,0.010423690208699554,0.02074511636747047,0.07785948356016908,-0.26372875112372,-0.31446723131013743,142471.0,34948.0,107523.0
Pubmed,hidden_mixing_finetune,combined_constant,10,0.7285000383853912,0.01444471863619352,0.7308447020965851,0.7289000391960144,-0.0004000008106231689,0.875,0.8660768389701843,0.008644673752132803,0.010681665106676518,0.020806994463782758,-0.023247173635875615,-0.03237984534754798,nan,142471.0,34948.0,107523.0
Pubmed,hidden_mixing_finetune,combined_shuffled,10,0.7283000349998474,0.014546819000958711,0.7306472168930814,0.7289000391960144,-0.0006000041961669922,0.875,0.8661952555179596,0.008576539866044185,0.010565169132314622,0.020793008885812016,-0.00477002090750814,-0.0005740012358486727,0.15352080450519578,142471.0,34948.0,107523.0
Pubmed,hidden_mixing_finetune,constant_reliability,10,0.7282000362873078,0.014232359455678464,0.7306154229415285,0.7289000391960144,-0.0007000029087066651,0.875,0.8682219743728637,0.006481213886581827,0.00842165305512026,0.016023536899592728,nan,nan,nan,142471.0,26372.0,107523.0
Pubmed,hidden_mixing_finetune,feature_only,10,0.7282000362873078,0.013629380011731205,0.7305703442910522,0.7289000391960144,-0.0007000029087066651,0.875,0.8728920340538024,0.0030112147353065664,0.003272838436532766,0.01131638182559982,-0.019188189062185754,0.009367262454213302,nan,142471.0,25348.0,107523.0
Pubmed,hidden_mixing_finetune,fixed,10,0.7312000334262848,0.014161919422828875,0.7337807135311569,0.7289000391960144,0.0022999942302703857,0.875,0.875,0.0,0.0,0.0,nan,nan,nan,107523.0,0.0,107523.0
Pubmed,hidden_mixing_finetune,reliability_only,10,0.7294000327587128,0.013922639533739374,0.7315434972950803,0.7289000391960144,0.0004999935626983643,0.875,0.868494576215744,0.006228047964395955,0.008303873159456998,0.01659078822704032,0.2759873624797785,-0.38614738365876944,-0.33036688756205446,142471.0,26372.0,107523.0
Pubmed,hidden_mixing_finetune,shuffled_reliability,10,0.7282000362873078,0.014232359455678464,0.7306482681397338,0.7289000391960144,-0.0007000029087066651,0.875,0.8680113613605499,0.006695473576837685,0.008765219524502755,0.01736406866693869,-0.0016999651233298417,-0.002073333961267233,0.16533552014197472,142471.0,26372.0,107523.0
Pubmed,hidden_mixing_finetune,zero_reliability,10,0.7282000362873078,0.014413881965150158,0.7305541647621541,0.7289000391960144,-0.0007000029087066651,0.875,0.8675643384456635,0.007140178818372078,0.009170319105032831,0.01752434434602037,nan,nan,nan,142471.0,26372.0,107523.0
Pubmed,hidden_mixing_frozen,combined,10,0.7288000404834747,0.014606846624755046,0.7323338105624936,0.7289000391960144,-9.999871253967285e-05,0.875,0.8691495597362519,0.009586231410503387,0.017901280988007785,0.0306987568968907,0.14907249496776737,0.05717236249541948,0.08662564637039274,34948.0,34948.0,0.0
Pubmed,hidden_mixing_frozen,combined_constant,10,0.7288000404834747,0.014386106132916946,0.7321391259375415,0.7289000391960144,-9.999871253967285e-05,0.875,0.8745660364627839,0.00543241947889328,0.011846396047621966,0.020748247765004633,-0.05095830383883717,-0.055861836405379214,nan,34948.0,34948.0,0.0
Pubmed,hidden_mixing_frozen,combined_shuffled,10,0.7289000391960144,0.014313981903524835,0.7322197567787468,0.7289000391960144,0.0,0.875,0.8749751329421998,0.005315351113677025,0.012037642300128937,0.020798475854098795,-0.04762537386884523,-0.055327648090415384,-0.007122749476765122,34948.0,34948.0,0.0
Pubmed,hidden_mixing_frozen,constant_reliability,10,0.7286000370979309,0.01454785652365597,0.7319759086613984,0.7289000391960144,-0.0003000020980834961,0.875,0.8752322793006897,0.0019486987963318824,0.00877330983057618,0.013726580888032913,nan,nan,nan,34948.0,26372.0,0.0
