dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Citeseer,hidden_mixing_finetune,combined_constant - fixed,10,-0.00209999680519104,-0.007876744374065884,0.0036767507636838036,2,5,3,0.4321230965621582
Citeseer,hidden_mixing_finetune,reliability_only - feature_only,10,0.0003000020980834961,-0.0006567839086843116,0.0012567881048513036,1,8,1,0.4960989678082106
Citeseer,hidden_mixing_finetune,true reliability - shuffled reliability,10,-0.0006999969482421875,-0.0020509887645351367,0.0006509948680507619,0,8,2,0.2712467050530718
Citeseer,hidden_mixing_finetune,true reliability - constant reliability,10,-0.0013000011444091798,-0.0029878033869598247,0.0003878010981414651,0,7,3,0.11541714324260023
Citeseer,hidden_mixing_finetune,true reliability - zero reliability,10,-0.0010999977588653565,-0.0027330078269107785,0.0005330123091800653,0,7,3,0.16189552537354868
Citeseer,hidden_mixing_finetune,combined - feature_only,10,-0.0015999972820281982,-0.005219442594115378,0.002019448030058981,0,9,1,0.34343639613791355
Citeseer,hidden_mixing_finetune,combined - combined_shuffled,10,0.0,0.0,0.0,0,10,0,nan
Citeseer,hidden_mixing_finetune,combined - combined_constant,10,-0.0007000029087066651,-0.0022835195026561514,0.0008835136852428214,0,9,1,0.34343639613791355
Pubmed,hidden_mixing_frozen,feature_only - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Pubmed,hidden_mixing_frozen,reliability_only - fixed,10,-0.0001999974250793457,-0.0005016144968764243,0.00010161964671773289,0,8,2,0.16785065605707486
Pubmed,hidden_mixing_frozen,combined - fixed,10,-9.999871253967285e-05,-0.00050606312260782,0.00030606569752847433,1,7,2,0.5910512317836047
Pubmed,hidden_mixing_frozen,shuffled_reliability - fixed,10,-0.0004000008106231689,-0.0011689879367969159,0.00036898631555057804,1,6,3,0.2694994538020781
Pubmed,hidden_mixing_frozen,constant_reliability - fixed,10,-0.0003000020980834961,-0.0009786539931343349,0.00037864979696734265,0,9,1,0.34343639613791355
Pubmed,hidden_mixing_frozen,zero_reliability - fixed,10,-0.0003000020980834961,-0.0009786539931343349,0.00037864979696734265,0,9,1,0.34343639613791355
Pubmed,hidden_mixing_frozen,combined_shuffled - fixed,10,0.0,0.0,0.0,0,10,0,nan
Pubmed,hidden_mixing_frozen,combined_constant - fixed,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Pubmed,hidden_mixing_frozen,reliability_only - feature_only,10,-9.999871253967285e-05,-0.0003262115163874818,0.0001262140913081361,0,9,1,0.34343639613791355
Pubmed,hidden_mixing_frozen,true reliability - shuffled reliability,10,0.00020000338554382324,-0.0003642812977038514,0.0007642880687914979,2,7,1,0.4433271596003209
Pubmed,hidden_mixing_frozen,true reliability - constant reliability,10,0.00010000467300415039,-0.0004278374020358268,0.0006278467480441276,1,8,1,0.6782987706359429
Pubmed,hidden_mixing_frozen,true reliability - zero reliability,10,0.00010000467300415039,-0.0004278374020358268,0.0006278467480441276,1,8,1,0.6782987706359429
Pubmed,hidden_mixing_frozen,combined - feature_only,10,0.0,-0.0003372181378563512,0.0003372181378563512,1,8,1,1.0
Pubmed,hidden_mixing_frozen,combined - combined_shuffled,10,-9.999871253967285e-05,-0.00050606312260782,0.00030606569752847433,1,7,2,0.5910512317836047
Pubmed,hidden_mixing_frozen,combined - combined_constant,10,0.0,-0.0003372181378563512,0.0003372181378563512,1,8,1,1.0
Pubmed,hidden_mixing_finetune,feature_only - fixed,10,-0.0029999971389770507,-0.008468831932646134,0.0024688376546920326,2,4,4,0.2460011915821578
Pubmed,hidden_mixing_finetune,reliability_only - fixed,10,-0.0018000006675720215,-0.007735501194873738,0.004135499859729695,3,4,3,0.5099837759710304
Pubmed,hidden_mixing_finetune,combined - fixed,10,-0.0026999950408935548,-0.009072073013295132,0.003672082931508023,2,4,4,0.3628366354453978
Pubmed,hidden_mixing_finetune,shuffled_reliability - fixed,10,-0.0029999971389770507,-0.009135229050575473,0.0031352347726213707,2,4,4,0.29735247369086326
Pubmed,hidden_mixing_finetune,constant_reliability - fixed,10,-0.0029999971389770507,-0.009135229050575473,0.0031352347726213707,2,4,4,0.29735247369086326
Pubmed,hidden_mixing_finetune,zero_reliability - fixed,10,-0.0029999971389770507,-0.009335836317376956,0.0033358420394228555,2,4,4,0.3119959811676504
Pubmed,hidden_mixing_finetune,combined_shuffled - fixed,10,-0.002899998426437378,-0.009381781505829722,0.0035817846529549668,2,4,4,0.33792218863960605
Pubmed,hidden_mixing_finetune,combined_constant - fixed,10,-0.0026999950408935548,-0.009072073013295132,0.003672082931508023,2,4,4,0.3628366354453978
Pubmed,hidden_mixing_finetune,reliability_only - feature_only,10,0.0011999964714050292,-0.0010571254444735599,0.0034571183872836183,2,8,0,0.25978688093822483
Pubmed,hidden_mixing_finetune,true reliability - shuffled reliability,10,0.0011999964714050292,-0.0020485622087728483,0.004448555151582907,1,8,1,0.42499281127427424
Pubmed,hidden_mixing_finetune,true reliability - constant reliability,10,0.0011999964714050292,-0.0020485622087728483,0.004448555151582907,1,8,1,0.42499281127427424
Pubmed,hidden_mixing_finetune,true reliability - zero reliability,10,0.0011999964714050292,-0.0023336042195928526,0.004733597162402911,1,8,1,0.46203706476447093
